N	2gram	Bakhtin_Fr_4	VLabPisa
1	таким образом	20	27
2	в этом	11	26
3	и в	29	25
4	не только	10	22
5	может быть	2	21
6	и не	16	19
7	не может	2	17
8	в его	8	15
9	прежде всего	8	13
10	в том	7	13
11	в частности	3	12
12	все это	4	12
13	с другой	4	11
14	из них	6	11
15	в качестве	3	10
16	о том	2	10
17	к этому	2	9
18	и др	4	9
19	но и	9	9
20	то же	10	9
21	все эти	9	8
22	в своем	3	8
23	другой стороны	3	8
24	в году	3	7
25	как и	12	7
26	том что	3	7
27	у него	5	6
28	это не	5	6
29	в себе	3	6
30	это и	5	6
31	то что	4	6
32	более или	3	6
33	том же	2	6
34	в нем	5	6
35	так и	11	6
36	или менее	3	6
37	и его	8	6
38	их в	2	6
39	в то	10	6
40	в результате	4	5
41	же время	8	5
42	все же	3	5
43	и при	2	5
44	связи с	2	5
45	и есть	4	5
46	как бы	8	5
47	один из	4	5
48	в их	2	5
49	сказать что	5	5
50	только в	2	5
51	в плане	4	5
52	к тому	2	4
53	никогда не	2	4
54	перед нами	4	4
55	что он	4	4
56	с его	4	4
57	в ее	3	4
58	в романе	10	4
59	в своей	5	4
60	вот как	2	4
61	образов и	2	4
62	как раз	2	4
63	в них	7	4
64	с ними	3	4
65	в этой	13	4
66	и к	2	3
67	во время	10	3
68	всех этих	3	3
69	и как	3	3
70	даже и	2	3
71	в конце	9	3
72	и образы	9	3
73	мы видели	7	3
74	что они	2	3
75	но как	3	3
76	или в	2	3
77	некоторые из	3	3
78	далеко не	5	3
79	в виду	2	3
80	в котором	2	3
81	его в	9	3
82	жизни и	4	3
83	и их	3	3
84	именно в	2	3
85	образом в	3	3
86	того что	3	3
87	и по	5	3
88	так же	7	3
89	в слове	2	3
90	как на	2	3
91	точки зрения	4	3
92	том числе	3	2
93	вот это	3	2
94	связана с	4	2
95	и образов	2	2
96	мира и	4	2
97	формы и	2	2
98	в жизни	2	2
99	вовсе не	9	2
100	а как	2	2
101	роль в	3	2
102	было в	2	2
103	о его	2	2
104	а затем	3	2
105	но не	2	2
106	в различных	2	2
107	пародия на	2	2
108	числе и	2	2
109	как известно	2	2
110	еще не	4	2
111	одной стороны	2	2
112	для того	3	2
113	он и	5	2
114	о своем	2	2
115	одной из	2	2
116	в образах	8	2
117	ни с	2	2
118	в ней	3	2
119	конце концов	4	2
120	и даже	3	2
121	если в	2	2
122	так называемые	2	2
123	после этого	2	2
124	все они	5	2
125	этот процесс	6	2
126	до нас	2	2
127	между прочим	2	2
128	бы не	2	2
129	основываясь на	3	2
130	в особенности	2	2
131	еще и	7	2
132	с одной	2	2
133	того чтобы	3	2
134	между ними	2	2
135	и для	2	2
136	года и	2	2
137	у них	3	2
138	отметить что	3	2
139	тому как	3	2
140	в своих	2	2
141	не столько	2	2
142	также и	4	2
143	хотя и	2	2
144	он не	3	2
145	подобно тому	3	2
146	они не	2	2
147	этого рода	2	2
148	стороны в	2	2
149	как он	2	2
150	в образе	4	2
151	в чем	3	2
152	в которой	4	2
153	о чем	2	2
154	но в	12	2
