N	2gram	Tiupa_Disk_2	VerxiiNi
1	и в	16	26
2	вместе с	2	15
3	в этом	16	15
4	точки зрения	4	13
5	как бы	4	12
6	в том	8	11
7	может быть	16	10
8	не только	10	10
9	и с	2	10
10	из этих	3	10
11	что в	5	9
12	но и	11	9
13	в области	2	9
14	с другой	5	8
15	но не	7	8
16	и не	15	8
17	как на	3	8
18	том что	10	7
19	одной стороны	4	7
20	из них	3	7
21	то что	5	7
22	а с	5	7
23	с одной	4	7
24	потому что	4	7
25	но в	11	7
26	того же	2	6
27	что и	2	6
28	все же	6	6
29	так и	9	6
30	все это	2	6
31	все эти	3	6
32	с точки	2	6
33	в себе	19	6
34	о том	4	6
35	отношение к	2	5
36	в его	3	5
37	никогда не	2	5
38	к жизни	3	5
39	а не	14	5
40	и для	2	5
41	в мире	11	5
42	в этих	3	4
43	к своим	2	4
44	что он	2	4
45	в нем	7	4
46	в котором	3	4
47	не может	9	4
48	а в	2	4
49	то же	6	4
50	он не	3	4
51	в то	5	4
52	только в	3	4
53	то есть	12	4
54	в этой	4	4
55	далеко не	2	4
56	не менее	7	3
57	в рамках	7	3
58	же как	2	3
59	к этому	4	3
60	можно сказать	3	3
61	для него	5	3
62	и как	3	3
63	представляет собой	11	3
64	в своем	5	3
65	в качестве	16	3
66	отношению к	4	3
67	с ней	2	3
68	при этом	17	3
69	уже не	3	3
70	в результате	2	3
71	в одном	4	3
72	с его	6	2
73	именно в	2	2
74	состоит в	16	2
75	одно из	4	2
76	в них	3	2
77	но при	2	2
78	прежде всего	7	2
79	или иной	3	2
80	а также	8	2
81	к его	4	2
82	же время	5	2
83	еще не	6	2
84	мысль о	3	2
85	той или	3	2
86	не с	2	2
87	не к	2	2
88	жизни и	3	2
89	гораздо менее	2	2
90	заключает в	2	2
91	приводит к	3	2
92	не было	3	2
93	этом отношении	4	2
94	мы имеем	2	2
95	и на	5	2
96	можно назвать	4	2
97	не в	3	2
98	и наконец	3	2
99	по своей	6	2
100	или по	2	2
101	и все	3	2
102	и это	2	2
103	между тем	2	2
