N	2gram	Ircho_Kome_1	Vladivir
1	и в	22	30
2	в году	3	24
3	то что	2	20
4	в этом	3	20
5	у него	3	19
6	в том	11	18
7	и не	8	18
8	и с	3	14
9	что он	6	13
10	в конце	6	13
11	том что	12	12
12	что в	6	12
13	там же	3	12
14	не только	10	12
15	в его	5	11
16	а в	6	11
17	как мы	4	11
18	а также	4	10
19	и даже	5	10
20	не в	6	9
21	было бы	2	9
22	все же	3	9
23	потому что	5	9
24	не может	2	9
25	в то	10	9
26	вместе с	2	8
27	но и	11	8
28	не мог	3	8
29	но в	4	8
30	не менее	3	7
31	точки зрения	4	7
32	и все	3	7
33	ни в	6	7
34	до конца	2	7
35	может быть	9	7
36	между прочим	2	7
37	которую он	2	7
38	в эти	2	7
39	как это	3	7
40	еще и	2	6
41	хотя и	3	6
42	к этому	4	6
43	прежде всего	5	6
44	тем не	2	6
45	он был	2	6
46	у нас	3	6
47	то время	5	6
48	только в	3	6
49	всяком случае	2	6
50	во всяком	2	6
51	в себе	2	6
52	и его	8	6
53	как и	9	5
54	при этом	5	5
55	того же	2	5
56	тот же	3	5
57	в котором	4	5
58	для себя	2	5
59	так и	5	5
60	все это	5	5
61	в течение	3	5
62	в результате	4	5
63	так как	4	5
64	совсем не	2	4
65	именно в	4	4
66	после смерти	3	4
67	вовсе не	2	4
68	его в	3	4
69	мы знаем	2	4
70	судить по	3	4
71	в этой	7	4
72	в целом	3	4
73	на его	5	4
74	несмотря на	4	4
75	и о	3	4
76	он не	3	4
77	это время	2	4
78	в нем	4	4
79	со стороны	2	4
80	то же	6	4
81	эти годы	2	4
82	можно судить	4	4
83	так же	3	4
84	по поводу	4	4
85	и на	3	4
86	но это	2	4
87	в начале	3	4
88	о том	8	4
89	в которой	6	4
90	отношение к	3	4
91	уже в	5	3
92	в них	3	3
93	в отношении	6	3
94	едва ли	7	3
95	что касается	2	3
96	же время	4	3
97	в следующем	2	3
98	в свою	2	3
99	что и	4	3
100	да и	3	3
101	и как	3	3
102	но не	2	3
103	и особенно	4	3
104	или менее	2	3
105	как в	5	3
106	таким образом	8	3
107	i с	3	3
108	и вот	4	3
109	здесь мы	3	3
110	отличие от	2	3
111	где он	2	3
112	в виде	3	3
113	к ней	2	3
114	но он	2	3
115	не говоря	2	3
116	конце концов	4	3
117	в области	2	3
118	к нему	2	2
119	еще в	5	2
120	казалось бы	3	2
121	однако в	3	2
122	со своей	2	2
123	правда в	2	2
124	до года	2	2
125	на все	2	2
126	и хотя	2	2
127	мы видели	2	2
128	здесь в	3	2
129	к тому	6	2
130	и можно	2	2
131	же в	4	2
132	а к	2	2
133	из его	4	2
134	на этом	2	2
135	по своему	3	2
136	а то	2	2
137	после того	3	2
138	и сам	3	2
139	во второй	3	2
140	и из	2	2
141	такого рода	6	2
142	в самом	2	2
143	в сущности	2	2
144	в частности	3	2
145	на то	3	2
146	время как	4	2
147	будто бы	2	2
148	даже в	3	2
149	к числу	2	2
150	всех вещей	2	2
151	говоря уже	2	2
152	наряду с	2	2
153	в их	4	2
154	того как	3	2
155	видно из	2	2
156	и притом	2	2
157	а мы	2	2
158	в чем	3	2
159	и по	6	2
160	к этим	3	2
161	нас в	2	2
162	в своих	2	2
163	второй половине	2	2
164	в более	3	2
165	и во	2	2
166	г в	4	2
167	как будто	2	2
168	или по	2	2
169	уже о	2	2
170	ничего не	3	2
171	мы не	3	2
