N	2gram	Kanaev_Sov_1	Tragedij
1	и в	7	18
2	в этом	7	9
3	не только	4	8
4	и не	6	7
5	может быть	12	7
6	как бы	4	7
7	у него	2	6
8	но в	3	6
9	все же	3	5
10	что это	2	5
11	это не	4	5
12	не может	17	5
13	то же	3	5
14	в дальнейшем	4	5
15	как и	6	5
16	в целом	4	4
17	что в	2	4
18	все это	3	4
19	прежде всего	5	4
20	и все	3	4
21	в нем	3	4
22	и даже	2	4
23	в этой	3	4
24	и что	2	4
25	в себе	3	4
26	еще не	3	4
27	уже в	3	3
28	отнюдь не	3	3
29	в конце	3	3
30	все эти	5	3
31	в его	2	3
32	при этом	3	3
33	не могут	2	2
34	в отличие	2	2
35	состоит из	3	2
36	то и	2	2
37	по мнению	2	2
38	что все	2	2
39	вопрос о	4	2
40	уже не	2	2
41	в том	4	2
42	отличие от	2	2
43	но все	2	2
44	в таком	2	2
45	не в	3	2
46	одна из	3	2
47	в первом	3	2
48	в виде	2	2
49	в самом	2	2
50	о жизни	2	2
51	ничего не	6	2
52	в одном	3	2
53	что она	3	2
