N	2gram	Tiupa_Disk_2	VLabPisa
1	в этом	16	26
2	и в	16	25
3	не только	10	22
4	может быть	16	21
5	и не	15	19
6	не может	9	17
7	в его	3	15
8	прежде всего	7	13
9	в том	8	13
10	этом отношении	4	13
11	в частности	12	12
12	все это	2	12
13	с другой	5	11
14	из них	3	11
15	в качестве	16	10
16	о том	4	10
17	к этому	4	9
18	что в	5	9
19	для него	5	9
20	но и	11	9
21	то же	6	9
22	по словам	2	8
23	все эти	3	8
24	в своем	5	8
25	другой стороны	2	8
26	могут быть	3	8
27	не следует	3	8
28	из этих	3	7
29	как и	16	7
30	том что	10	7
31	отношению к	4	7
32	вместе с	2	7
33	по отношению	4	7
34	не было	3	7
35	а не	14	7
36	это не	3	6
37	в себе	19	6
38	то что	5	6
39	в нем	7	6
40	так и	9	6
41	и его	3	6
42	их в	2	6
43	между тем	2	6
44	в то	5	6
45	в результате	2	5
46	же время	5	5
47	все же	6	5
48	в пределах	4	5
49	как бы	4	5
50	приводит к	3	5
51	только в	3	5
52	не в	3	5
53	не является	4	5
54	произведения как	2	5
55	никогда не	2	4
56	перед нами	3	4
57	в одном	4	4
58	в целом	2	4
59	что он	2	4
60	с его	6	4
61	можно сказать	3	4
62	в своей	6	4
63	в них	3	4
64	в этой	4	4
65	в противоположность	5	3
66	и ее	3	3
67	и как	3	3
68	момент в	2	3
69	одном из	3	3
70	не столь	2	3
71	в творчестве	3	3
72	со своим	2	3
73	например в	3	3
74	далеко не	2	3
75	в котором	3	3
76	его в	3	3
77	что и	2	3
78	жизни и	3	3
79	именно в	2	3
80	сводится к	2	3
81	как на	3	3
82	точки зрения	4	3
83	является не	2	3
84	не менее	7	2
85	что ни	2	2
86	мира и	4	2
87	не подлежит	2	2
88	у пушкина	2	2
89	роль в	4	2
90	стороны и	2	2
91	было в	3	2
92	или иной	3	2
93	но не	7	2
94	еще не	6	2
95	одной стороны	4	2
96	и может	3	2
97	мысль о	3	2
98	который по	2	2
99	мы имеем	2	2
100	персонажей и	2	2
101	в ней	2	2
102	отнюдь не	6	2
103	слова не	2	2
104	а в	2	2
105	с одной	4	2
106	при всей	7	2
107	человека в	4	2
108	и для	2	2
109	тому как	2	2
110	в своих	6	2
111	не столько	3	2
112	также и	3	2
113	пока еще	2	2
114	не о	2	2
115	он не	3	2
116	подобно тому	2	2
117	к его	4	2
118	говорить о	2	2
119	в другом	3	2
120	в области	2	2
121	говорит об	2	2
122	же как	2	2
123	о чем	2	2
124	но в	11	2
