N	2gram	Losev_Dial_4	Morfolog
1	может быть	17	52
2	и т	17	49
3	т д	15	47
4	и пр	9	40
5	таким образом	5	20
6	не может	11	17
7	т е	46	16
8	могут быть	3	15
9	с этим	3	14
10	и в	15	13
11	в этом	11	13
12	так как	14	12
13	перед нами	6	11
14	мы видим	4	11
15	видим что	4	10
16	прежде всего	11	9
17	не всегда	3	9
18	так и	5	9
19	то же	9	9
20	и не	30	9
21	а не	18	9
22	мы имеем	5	9
23	что и	6	8
24	при помощи	3	8
25	в результате	6	8
26	вопрос о	2	7
27	в качестве	2	7
28	но если	5	7
29	все же	2	7
30	это не	12	6
31	не могут	2	6
32	в том	11	6
33	подобно тому	4	6
34	не менее	2	5
35	тому как	4	5
36	если мы	5	5
37	этот момент	3	5
38	во всех	2	5
39	как бы	14	5
40	один из	4	5
41	то что	16	5
42	или в	7	5
43	потому что	10	5
44	мы не	9	5
45	что в	7	4
46	и как	4	4
47	вовсе не	6	4
48	об этом	3	4
49	тем не	2	4
50	случае не	2	4
51	было бы	9	4
52	ни одна	2	4
53	не только	8	4
54	как в	3	4
55	другой стороны	2	4
56	тех же	2	4
57	так же	4	4
58	как и	7	4
59	то мы	3	4
60	хотя и	6	4
61	тем что	2	4
62	точки зрения	14	4
63	с точки	9	4
64	на этом	3	4
65	также и	4	4
66	а если	3	4
67	ничего не	17	4
68	только что	2	3
69	прежде чем	2	3
70	и вне	2	3
71	если бы	6	3
72	том что	10	3
73	но все	2	3
74	но это	4	3
75	что они	4	3
76	на нем	2	3
77	кроме того	2	3
78	того чтобы	5	3
79	в сущности	5	3
80	как таковое	3	3
81	ни в	8	3
82	но и	4	3
83	от того	2	3
84	из которых	3	3
85	и по	2	3
86	и для	5	3
87	можно назвать	3	3
88	мы можем	3	3
89	из них	2	3
90	и ее	8	3
91	в то	6	3
92	мы должны	4	3
93	в один	3	3
94	но в	3	3
95	значит что	9	3
96	если она	2	2
97	с тем	4	2
98	в виде	3	2
99	в частности	2	2
100	однако в	2	2
101	хотя бы	4	2
102	та же	3	2
103	точно так	2	2
104	что эта	2	2
105	к этому	3	2
106	что он	7	2
107	имеется в	3	2
108	в собственном	3	2
109	можно сказать	5	2
110	то в	5	2
111	и при	2	2
112	только в	7	2
113	от него	3	2
114	как таковая	2	2
115	есть и	3	2
116	одной из	2	2
117	мы уже	3	2
118	никто не	2	2
119	но для	2	2
120	не значит	2	2
121	себя и	3	2
122	показать как	2	2
123	оно не	2	2
124	себя в	2	2
125	быть и	3	2
126	собственном смысле	2	2
127	есть нечто	2	2
128	и тогда	2	2
129	и только	2	2
130	все эти	3	2
131	и что	9	2
132	того что	13	2
133	для того	5	2
134	что такое	5	2
135	уже не	9	2
136	не имеет	14	2
137	и его	7	2
138	в каком	5	2
139	мы получаем	2	2
140	или не	4	2
141	что мы	7	2
142	или по	4	2
143	или нет	3	2
144	о том	5	2
145	в свое	2	2
146	ясно что	11	2
147	сказать что	6	2
148	как это	2	2
149	д все	2	2
150	это было	2	2
