N	2gram	Voloshinov_1	Tragedij
1	и в	38	18
2	в этом	10	9
3	не только	27	8
4	и не	14	7
5	и на	6	7
6	и с	5	7
7	может быть	13	7
8	как бы	28	7
9	что он	2	6
10	и его	7	6
11	же время	7	6
12	но в	5	6
13	все же	7	5
14	что это	4	5
15	так и	6	5
16	это не	3	5
17	не может	12	5
18	то же	14	5
19	в дальнейшем	2	5
20	как и	10	5
21	в то	9	5
22	несмотря на	2	5
23	но и	13	4
24	то что	8	4
25	в целом	4	4
26	все это	4	4
27	прежде всего	21	4
28	и все	4	4
29	в нем	4	4
30	и даже	3	4
31	так же	4	4
32	том что	3	4
33	но это	2	4
34	в этой	6	4
35	в себе	9	4
36	еще не	3	4
37	об этом	3	4
38	уже в	5	3
39	один из	4	3
40	отнюдь не	10	3
41	в конце	6	3
42	как в	2	3
43	все эти	2	3
44	иван петрович	3	3
45	тем самым	7	3
46	и он	2	3
47	и как	9	3
48	к нему	2	3
49	должно быть	2	3
50	в его	6	3
51	для него	3	3
52	при этом	9	3
53	и сам	2	3
54	в мире	2	3
55	как это	5	3
56	с ним	2	3
57	то есть	4	3
58	перед нами	3	2
59	что и	3	2
60	в душе	2	2
61	ведь еще	2	2
62	в частности	3	2
63	но при	3	2
64	вопрос о	2	2
65	не просто	2	2
66	если б	4	2
67	но эта	2	2
68	уже не	4	2
69	бы и	2	2
70	с его	7	2
71	отношение к	2	2
72	даже на	2	2
73	к тому	4	2
74	не так	3	2
75	и здесь	3	2
76	в ее	3	2
77	в том	2	2
78	друг друга	2	2
79	но все	4	2
80	не в	6	2
81	вряд ли	3	2
82	и то	3	2
83	потому что	5	2
84	с тем	8	2
85	тем что	2	2
86	было в	4	2
87	о том	4	2
88	его в	4	2
89	что эти	2	2
90	и это	7	2
91	в самом	4	2
92	не мог	3	2
93	ничего не	8	2
94	он не	2	2
95	в одном	3	2
96	никогда не	7	2
