N	2gram	Trubetskoy_1	Problema
1	то есть	2	46
2	в его	5	43
3	и не	8	42
4	и в	23	38
5	и проч	4	28
6	не может	17	27
7	может быть	16	26
8	как бы	10	22
9	по отношению	9	21
10	отнюдь не	2	19
11	отношению к	9	19
12	и с	5	17
13	в нем	3	15
14	в этом	12	15
15	независимо от	2	13
16	прежде всего	3	13
17	только в	6	13
18	но не	2	12
19	во всех	10	11
20	и для	6	11
21	в области	4	11
22	к нему	2	10
23	отношение к	4	10
24	в их	4	10
25	таким образом	31	10
26	но и	9	9
27	его в	5	9
28	не только	7	9
29	в том	30	8
30	точки зрения	13	8
31	было бы	3	8
32	то что	18	8
33	что в	8	7
34	с другой	6	7
35	не в	8	7
36	в самом	8	7
37	между тем	12	7
38	как и	9	7
39	еще не	5	7
40	совершенно не	3	7
41	как мы	2	7
42	и наконец	3	6
43	а в	3	6
44	в психике	7	6
45	не есть	2	6
46	все же	13	6
47	самом деле	12	6
48	с точки	8	6
49	мы можем	6	6
50	то же	4	5
51	все они	5	5
52	в своем	10	5
53	это не	3	5
54	при этом	9	5
55	имеет место	2	5
56	никогда не	4	5
57	все эти	19	5
58	должно быть	4	5
59	в основе	2	5
60	далеко не	5	5
61	с ним	6	5
62	в них	2	5
63	конечно не	3	5
64	так и	10	5
65	отличие от	3	5
66	должна быть	5	4
67	не менее	7	4
68	в нашем	3	4
69	на самом	7	4
70	должны быть	3	4
71	в ней	3	4
72	в виду	2	4
73	другой стороны	5	4
74	данном случае	3	4
75	и только	2	4
76	которых мы	3	4
77	с ними	2	4
78	в то	6	4
79	о том	7	4
80	и потому	3	4
81	но в	4	4
82	тем самым	3	4
83	между ними	2	4
84	хотя бы	4	4
85	в данном	3	4
86	в себе	5	4
87	мы будем	3	3
88	себя и	2	3
89	то ни	3	3
90	и от	5	3
91	вследствие этого	2	3
92	в тех	3	3
93	тем не	4	3
94	в дальнейшем	2	3
95	же время	2	3
96	одной стороны	2	3
97	у в	2	3
98	несмотря на	6	3
99	хотя и	4	3
100	в целом	5	3
101	все это	11	3
102	с одной	3	3
103	они не	2	3
104	и на	6	3
105	все то	2	3
106	также и	2	3
107	ни было	2	3
108	если бы	8	3
109	и все	7	3
110	ясно что	8	3
111	и к	5	3
112	том что	19	3
113	говорить о	2	3
114	от него	3	3
115	бы то	2	3
116	все что	9	3
117	он не	3	3
118	на почве	3	3
119	на него	2	3
120	начало и	6	3
121	но с	2	3
122	культуры и	9	3
123	в мире	6	3
124	в таком	4	3
125	не знает	2	3
126	и это	3	3
127	чем в	3	2
128	на этом	2	2
129	а лишь	2	2
130	я не	2	2
131	не могут	4	2
132	в частности	2	2
133	в этих	3	2
134	столь же	5	2
135	что все	5	2
136	на то	9	2
137	что оно	3	2
138	ибо в	4	2
139	не более	2	2
140	в свою	2	2
141	что это	5	2
142	и у	4	2
143	не вполне	3	2
144	в котором	2	2
145	другими словами	2	2
146	отличается от	6	2
147	как к	5	2
148	в связи	3	2
149	не было	2	2
150	и других	2	2
151	этой области	4	2
152	ценности и	2	2
153	в самой	2	2
154	лишь в	5	2
155	и что	8	2
156	того что	6	2
157	и те	2	2
158	которые могут	2	2
159	в своих	2	2
160	только при	2	2
161	но как	2	2
162	в начале	2	2
163	во всем	3	2
164	в истории	3	2
165	о котором	7	2
166	мы должны	4	2
167	и более	2	2
168	следует что	2	2
169	он должен	2	2
170	к этому	5	2
171	вовсе не	2	2
172	на первый	2	2
173	о которых	6	2
174	что он	7	2
175	где находится	2	2
176	у нас	3	2
177	по существу	6	2
178	а к	2	2
179	и при	6	2
180	связи с	4	2
181	одна из	2	2
182	она не	2	2
183	том же	4	2
184	что и	7	2
185	в себя	2	2
186	того чтобы	8	2
187	для того	8	2
188	из которых	4	2
189	и конец	4	2
190	в виде	4	2
191	и ее	2	2
192	в другом	2	2
193	и вообще	3	2
194	что эта	4	2
