N	2gram	Bakhtin_Pr_1	Marksizm
1	точки зрения	21	34
2	может быть	21	26
3	и не	34	26
4	не может	11	24
5	с точки	15	20
6	и в	23	19
7	и его	13	19
8	таким образом	11	17
9	в этом	25	16
10	как бы	28	15
11	в процессе	4	14
12	прежде всего	7	13
13	как мы	5	13
14	как и	8	12
15	так и	10	11
16	и для	3	11
17	в самом	8	10
18	в нем	20	10
19	ни было	4	10
20	и т.п	3	10
21	самом деле	5	10
22	для него	15	9
23	лишь в	3	9
24	в результате	4	9
25	только в	8	9
26	на материале	3	8
27	при этом	3	8
28	бы то	3	8
29	но и	11	8
30	то ни	3	8
31	друг друга	3	8
32	до сих	2	8
33	не только	13	8
34	все же	5	8
35	то что	18	8
36	сих пор	2	8
37	в каждом	8	7
38	точка зрения	7	7
39	все эти	8	7
40	так же	6	7
41	но в	4	7
42	во всех	5	7
43	то же	10	7
44	а не	20	7
45	в смысле	2	6
46	в том	11	6
47	кроме того	3	6
48	является не	3	6
49	в пределах	9	6
50	другой стороны	2	6
51	и здесь	3	6
52	в основном	2	6
53	в его	24	6
54	мы не	2	6
55	в разрезе	5	6
56	так сказать	3	6
57	ничего не	6	6
58	с другой	2	5
59	в конце	5	5
60	именно в	6	5
61	не в	6	5
62	до конца	5	5
63	рядом с	13	5
64	и потому	3	5
65	и все	3	5
66	к этому	2	5
67	вовсе не	8	5
68	за пределы	6	5
69	по преимуществу	3	5
70	в отличие	2	5
71	входит в	2	5
72	того чтобы	4	5
73	хотя бы	2	5
74	этот вопрос	2	5
75	во всяком	4	5
76	отличие от	2	5
77	самого начала	3	4
78	что в	8	4
79	в отношении	2	4
80	вопрос о	4	4
81	как же	3	4
82	с самого	2	4
83	дело идет	6	4
84	от того	2	4
85	здесь мы	2	4
86	разрезе данного	2	4
87	не столько	3	4
88	а в	7	4
89	и на	10	4
90	тот же	2	4
91	сказать что	5	4
92	вне его	2	4
93	по себе	7	4
94	в условиях	2	4
95	еще не	5	4
96	было бы	6	4
97	в единство	5	4
98	как в	6	4
99	мысли и	2	4
100	для того	2	4
101	между ними	2	4
102	в данном	2	4
103	выражение в	4	4
104	в рамки	2	4
105	отношении к	2	4
106	этом отношении	5	3
107	и есть	5	3
108	а как	6	3
109	можно сказать	2	3
110	и как	8	3
111	но именно	4	3
112	в большинстве	2	3
113	же время	7	3
114	не дает	3	3
115	в котором	2	3
116	из них	2	3
117	все это	7	3
118	по отношению	11	3
119	не было	3	3
120	конце концов	4	3
121	того что	2	3
122	с другими	7	3
123	между тем	5	3
124	только при	2	3
125	в то	10	3
126	его в	4	3
127	большинстве случаев	2	3
128	слово в	2	3
129	сознания и	3	3
130	он может	3	3
131	к другому	2	3
132	не могут	6	3
133	и к	4	3
134	является лишь	4	3
135	том что	9	3
136	более того	3	3
137	социальной жизни	2	3
138	мы должны	2	3
139	в сущности	5	3
140	он не	4	3
141	в первом	2	3
142	в своей	11	3
143	в истории	2	3
144	это и	9	3
145	на самом	4	3
146	на этот	2	3
147	не становится	5	3
148	но все	4	3
149	и это	5	3
150	в которой	4	3
151	в области	3	3
152	должна быть	2	2
153	никогда не	5	2
154	дано в	2	2
155	тому что	2	2
156	в своем	8	2
157	точку зрения	4	2
158	или к	2	2
159	что все	3	2
160	его к	4	2
161	слова но	2	2
162	все в	6	2
163	ни в	3	2
164	одним из	8	2
165	в единстве	7	2
166	совпадает с	2	2
167	но для	2	2
168	всяком случае	3	2
169	ни одной	2	2
170	со всею	3	2
171	себе и	3	2
172	с ее	2	2
173	зрения и	2	2
174	жизни и	6	2
175	в первой	2	2
176	и их	2	2
177	точке зрения	2	2
178	и других	5	2
179	именно на	2	2
180	и даже	3	2
181	можно было	3	2
182	для других	2	2
183	в своих	2	2
184	говорит он	8	2
185	в одной	4	2
186	из этих	2	2
187	о том	2	2
188	этом смысле	9	2
189	как он	2	2
190	этой действительности	2	2
191	так как	7	2
192	бы в	3	2
193	мысли в	2	2
194	нет ни	2	2
195	в сознании	2	2
196	и с	4	2
197	в основе	5	2
198	если бы	10	2
199	имеет значение	2	2
200	не как	12	2
201	и во	2	2
202	всею совокупностью	2	2
203	в литературе	3	2
204	что он	10	2
205	в себе	5	2
206	в романе	11	2
207	зависимости от	3	2
208	одна из	2	2
209	во все	3	2
210	не об	3	2
211	она не	5	2
212	мы уже	2	2
213	этого слова	2	2
214	однако не	2	2
215	что и	5	2
216	отношению к	11	2
217	благодаря этому	2	2
218	бы и	4	2
219	как раз	4	2
220	следовательно и	2	2
221	человека в	5	2
222	из которых	2	2
223	мира и	7	2
224	менее всего	4	2
225	той же	6	2
226	тем что	3	2
227	там где	6	2
