N	3gram	Vygotskiy__1	Marksizm
1	с точки зрения	2	13
2	не может быть	8	10
3	в том что	9	6
4	для того чтобы	5	6
5	в самом деле	7	5
6	то же самое	2	5
7	смысле этого слова	2	4
8	в русском языке	2	4
9	на самом деле	2	4
10	в таком случае	2	3
11	с одной стороны	5	3
12	о том что	7	3
13	в отличие от	3	3
14	до сих пор	3	3
15	не было бы	2	2
16	собственном смысле слова	2	2
17	ни в какой	3	2
18	более или менее	2	2
19	только на почве	2	2
20	на то что	8	2
21	в собственном смысле	3	2
22	в зависимости от	5	2
23	мы никогда не	4	2
24	во всяком случае	6	2
