N	2gram	Bakhtin_Fr_6	NovoeSre
1	а не	2	17
2	не может	4	16
3	и в	41	16
4	нового времени	4	12
5	и не	3	11
6	что в	7	9
7	в эпоху	6	9
8	жизни и	3	8
9	он не	2	8
10	в том	2	8
11	средние века	4	7
12	как и	7	7
13	в этом	12	7
14	может быть	2	7
15	с его	5	6
16	никогда не	8	6
17	не в	4	6
18	лишь в	2	6
19	но это	3	6
20	должен быть	2	5
21	в нем	16	5
22	все это	11	5
23	в ней	4	5
24	не только	10	5
25	то что	10	4
26	в них	7	4
27	и все	9	4
28	и для	3	4
29	потому что	3	4
30	прежде всего	10	4
31	о том	9	4
32	и потому	2	4
33	но и	13	3
34	в средние	4	3
35	должна быть	2	3
36	в своей	2	3
37	в истории	2	3
38	с другой	4	3
39	человека и	2	3
40	в духе	3	3
41	во всех	17	3
42	в ее	5	3
43	в основе	4	3
44	конечно не	3	3
45	как в	4	3
46	за пределы	2	3
47	сказать что	6	3
48	это было	2	3
49	что все	2	2
50	времени и	2	2
51	все время	4	2
52	себя в	2	2
53	у него	7	2
54	вместе с	6	2
55	все они	2	2
56	так и	5	2
57	для этого	2	2
58	и т.п	19	2
59	другой стороны	2	2
60	и от	4	2
61	а в	4	2
62	духа в	2	2
63	с одной	4	2
64	все эти	11	2
65	для нового	2	2
66	роль в	4	2
67	того чтобы	4	2
68	одной стороны	4	2
69	и даже	4	2
70	но не	2	2
71	так же	5	2
72	это и	2	2
73	мы не	2	2
74	том что	7	2
75	связана с	2	2
76	связаны с	7	2
77	есть в	3	2
78	и с	16	2
79	и что	5	2
80	с этим	3	2
81	и на	9	2
82	в себе	5	2
83	ведь и	2	2
84	в то	6	2
85	в центре	2	2
86	сильнее и	2	2
87	мира и	2	2
88	как это	2	2
89	хотя и	2	2
90	но в	8	2
91	в новом	2	2
