N	2gram	Bakhtin_Fr_8	Mirosoze
1	и в	56	46
2	в нем	8	22
3	у него	7	22
4	может быть	3	21
5	в этом	14	20
6	никогда не	5	18
7	для него	2	18
8	и не	9	18
9	не только	8	18
10	но и	9	15
11	не может	2	15
12	как и	5	13
13	а не	2	13
14	прежде всего	6	12
15	потому что	6	12
16	не было	5	11
17	в ней	4	11
18	но он	3	11
19	но в	6	10
20	он не	5	10
21	в себе	4	10
22	он был	12	9
23	не в	3	9
24	но это	2	8
25	как бы	11	8
26	в своем	3	8
27	так как	4	8
28	человека и	2	7
29	в мире	2	7
30	в этой	6	7
31	в нашем	2	7
32	что он	2	7
33	и к	4	7
34	и потому	4	7
35	и для	2	7
36	что это	4	6
37	так же	2	6
38	и здесь	3	6
39	то же	11	5
40	бы и	2	5
41	в отношении	5	5
42	что все	4	5
43	совсем не	2	5
44	в самом	9	5
45	один из	5	5
46	что она	2	5
47	это не	2	5
48	и все	6	5
49	в духе	4	5
50	во всем	4	5
51	по преимуществу	2	5
52	то что	3	5
53	в своей	2	5
54	для того	2	5
55	и его	12	5
56	в его	18	5
57	что в	5	4
58	до конца	11	4
59	они не	5	4
60	также и	2	4
61	с его	5	4
62	том что	8	4
63	что и	3	4
64	так и	13	4
65	уже не	3	4
66	того чтобы	4	4
67	в образе	3	3
68	ни в	2	3
69	в том	13	3
70	что они	2	3
71	момент в	2	3
72	не мог	3	3
73	в своих	4	3
74	и на	7	3
75	людей и	2	3
76	сказать что	3	3
77	и с	8	3
78	по своей	4	3
79	о том	4	3
80	его в	2	3
81	с ним	2	3
82	к которому	3	3
83	они были	4	3
84	если бы	2	3
85	в них	11	3
86	и во	2	3
87	возврата к	2	3
88	есть и	5	3
89	до сих	8	3
90	сих пор	8	3
91	того как	2	3
92	той же	6	3
93	только в	9	3
94	в творчестве	5	3
95	уже в	2	2
96	и глубже	2	2
97	не был	4	2
98	в этих	11	2
99	мир и	2	2
100	так что	3	2
101	в действительности	2	2
102	на его	6	2
103	хотя и	2	2
104	к нему	2	2
105	как к	2	2
106	у всех	2	2
107	и других	4	2
108	а в	2	2
109	и те	2	2
110	в основе	4	2
111	точки зрения	6	2
112	в церкви	2	2
113	бы в	3	2
114	нет ни	2	2
115	между тем	3	2
116	с собой	2	2
117	интерес к	2	2
118	мы видим	6	2
119	это была	3	2
120	связи с	6	2
121	себе и	2	2
122	в сущности	8	2
123	во всех	8	2
124	вместе с	2	2
125	в центре	2	2
126	но с	2	2
127	и эта	2	2
128	ни одного	2	2
129	в которой	4	2
