N	2gram	Nazirov_Tr_1	RusskieA
1	и в	18	36
2	не только	8	22
3	что в	4	19
4	том что	4	19
5	в том	2	17
6	но и	4	16
7	в этом	9	12
8	это не	5	10
9	как и	5	10
10	и на	7	10
11	потому что	2	10
12	об этом	4	9
13	с тем	2	8
14	может быть	7	8
15	один из	3	8
16	о том	2	8
17	как это	3	8
18	что и	2	7
19	так и	5	7
20	и не	7	6
21	при этом	3	6
22	уже не	2	6
23	все это	4	6
24	не имеет	2	6
25	в виде	2	6
26	то что	4	6
27	все же	5	5
28	как будто	3	5
29	как бы	7	5
30	как в	3	5
31	к тому	2	4
32	одна из	2	4
33	еще не	4	4
34	еще в	2	4
35	не может	5	4
36	и что	4	4
37	что этот	2	4
38	но это	4	4
39	тем что	2	4
40	в русском	2	4
41	к жизни	5	3
42	о чем	3	3
43	что это	5	3
44	в своем	3	3
45	но все	2	3
46	но они	2	3
47	в одном	2	3
48	в поле	3	3
49	в это	2	3
50	несмотря на	5	3
51	в основном	3	3
52	своего рода	3	3
53	то же	5	3
54	так же	4	3
55	ничего не	2	3
56	то есть	3	3
57	в частности	2	2
58	в образе	6	2
59	не просто	2	2
60	в нем	4	2
61	у него	6	2
62	он был	2	2
63	так что	2	2
64	и как	3	2
65	в дальнейшем	5	2
66	до конца	2	2
67	отнюдь не	3	2
68	в его	3	2
69	и с	7	2
70	в целом	4	2
71	и до	2	2
72	с г	2	2
73	что она	2	2
74	все эти	3	2
75	в году	9	2
76	и лучше	2	2
77	с ним	3	2
78	тут же	2	2
79	не случайно	2	2
80	и здесь	2	2
81	но в	6	2
