N	2gram	Bakhtin_Fr_1	EvropaiE
1	и в	65	37
2	в отношении	6	32
3	точки зрения	7	23
4	что в	3	21
5	не только	10	18
6	с точки	3	17
7	в своем	8	14
8	но и	10	14
9	и не	22	14
10	но в	14	14
11	в этом	15	12
12	в их	4	11
13	в том	16	11
14	в области	7	11
15	так и	10	10
16	прежде всего	11	9
17	не может	3	9
18	в себе	3	9
19	только в	7	9
20	к тому	2	8
21	в ее	3	8
22	одной стороны	2	8
23	в своей	5	8
24	с одной	2	8
25	между тем	5	8
26	как и	5	7
27	по своему	8	7
28	нам кажется	2	7
29	между прочим	2	7
30	того что	2	7
31	с другой	3	7
32	так как	6	7
33	вовсе не	18	6
34	том что	6	6
35	может быть	6	6
36	как бы	22	6
37	то что	3	6
38	во всех	9	6
39	и даже	8	6
40	и на	11	6
41	то есть	45	6
42	в частности	5	5
43	не в	4	5
44	но не	2	5
45	как мы	6	5
46	в той	5	5
47	и по	2	5
48	и потому	10	5
49	или иной	5	4
50	можно сказать	2	4
51	несмотря на	2	4
52	в самом	4	4
53	в ней	6	4
54	той или	5	4
55	даже в	3	4
56	в процессе	2	4
57	для нас	4	4
58	во многих	2	4
59	культуры в	4	4
60	сказать что	6	4
61	мира в	3	4
62	и к	4	3
63	этом отношении	3	3
64	но на	3	3
65	никогда не	6	3
66	жизни в	5	3
67	в них	5	3
68	и от	2	3
69	европейской культуры	3	3
70	в общем	4	3
71	в известной	3	3
72	из всех	2	3
73	применении к	3	3
74	бы ни	2	3
75	из них	4	3
76	не является	3	3
77	во второй	2	3
78	время в	2	3
79	как в	5	3
80	и для	2	3
81	и прежде	3	3
82	в таком	2	3
83	потому что	5	3
84	ни на	2	3
85	в применении	3	3
86	о том	2	3
87	дело в	2	3
88	большинстве случаев	2	3
89	мира и	4	3
90	отметить что	2	3
91	этой культуры	4	2
92	не могут	3	2
93	в этих	2	2
94	еще более	5	2
95	и во	3	2
96	в большинстве	2	2
97	и все	5	2
98	в одном	5	2
99	к нему	3	2
100	главным образом	6	2
101	идеологии и	2	2
102	и эта	3	2
103	влияние на	7	2
104	же в	2	2
105	есть в	5	2
106	но как	3	2
107	между ними	4	2
108	не к	2	2
109	мира то	2	2
110	меньшей степени	5	2
111	он не	2	2
112	в его	9	2
113	жизни и	7	2
114	в некоторых	2	2
115	наряду с	2	2
116	ссылаться на	2	2
117	во всей	3	2
118	второй половине	2	2
119	которого мы	2	2
120	начиная с	2	2
121	свои пределы	2	2
122	на них	2	2
123	и других	3	2
124	но с	2	2
125	и человеческой	2	2
126	культуры и	8	2
127	в значительной	6	2
128	и наконец	2	2
129	на этот	2	2
130	во многом	2	2
131	в других	3	2
132	мы видим	2	2
133	или в	2	2
134	в своих	5	2
135	этот вопрос	2	2
136	культуры но	2	2
137	и с	3	2
138	хотя и	2	2
139	могут быть	2	2
140	и еще	4	2
141	в этой	4	2
142	по своей	3	2
143	его на	2	2
144	далеко не	3	2
145	начало в	4	2
146	которое в	2	2
