N	3gram	Bakhtin_fo_1	FransuaR
1	то же время	9	6
2	в то же	6	6
3	и до конца	2	5
4	как мы уже	8	5
5	до сих пор	3	4
6	в связи с	5	4
7	в том числе	4	3
8	в отличие от	2	3
9	а также и	2	3
10	для того чтобы	5	3
11	и прежде всего	2	3
12	мы уже говорили	3	3
13	в мировой литературе	2	3
14	прежде всего необходимо	3	3
15	том числе и	2	2
16	по сравнению с	2	2
17	и в других	4	2
18	той или иной	2	2
19	в этом отношении	3	2
20	не может быть	3	2
21	все то что	2	2
22	как раз в	4	2
23	по отношению к	3	2
24	но и в	2	2
25	как и в	2	2
26	и во всей	2	2
