N	2gram	Potebnia_M_4	Problemy
1	и не	18	31
2	и в	23	29
3	в его	5	24
4	может быть	26	24
5	а не	12	22
6	в этом	23	22
7	как бы	5	19
8	в нем	7	19
9	точки зрения	4	19
10	для него	5	18
11	не только	10	15
12	то что	29	15
13	не как	2	14
14	но и	11	14
15	и его	2	14
16	то же	14	14
17	уже не	3	13
18	с точки	3	13
19	как и	14	12
20	не может	11	12
21	таким образом	24	12
22	в одном	4	10
23	в самом	3	10
24	в то	4	10
25	только в	15	10
26	там где	3	10
27	это не	7	9
28	же время	3	9
29	все эти	3	9
30	если бы	13	9
31	в каждом	3	8
32	в своем	8	8
33	по себе	11	8
34	что он	4	8
35	что в	17	8
36	отношению к	8	8
37	по отношению	10	8
38	потому что	33	8
39	в том	23	8
40	вовсе не	7	7
41	а как	2	7
42	том что	12	7
43	не в	11	7
44	она не	2	7
45	так и	6	7
46	и как	2	7
47	а в	5	7
48	с другими	4	7
49	и на	3	7
50	в себе	14	7
51	но в	8	7
52	все это	5	6
53	не могут	2	6
54	к нему	5	6
55	что она	2	6
56	как в	7	6
57	в самой	2	6
58	самом деле	3	6
59	в мире	2	6
60	так же	4	6
61	могут быть	7	6
62	его в	4	6
63	и потому	10	6
64	так как	14	6
65	и др	2	5
66	именно в	3	5
67	же что	2	5
68	было бы	8	5
69	еще не	3	5
70	в сущности	2	5
71	и о	4	5
72	он не	2	5
73	мысли и	7	5
74	той же	3	5
75	на самом	3	5
76	во всяком	5	5
77	между тем	9	5
78	и это	2	5
79	с ним	5	5
80	превращается в	2	4
81	из одного	3	4
82	тем как	2	4
83	бы и	5	4
84	что и	7	4
85	но это	3	4
86	и с	4	4
87	и следовательно	3	4
88	не значит	2	4
89	даже в	2	4
90	в процессе	3	4
91	от того	4	4
92	и т	7	4
93	и для	2	4
94	не было	12	4
95	тем что	10	4
96	но эта	2	4
97	как же	4	4
98	как мы	2	4
99	должно быть	5	4
100	их в	3	4
101	человека в	2	4
102	так сказать	5	4
103	что же	5	4
104	уже в	5	3
105	я не	2	3
106	в другой	2	3
107	никогда не	3	3
108	в них	3	3
109	сами по	2	3
110	с другой	2	3
111	есть то	4	3
112	таким же	5	3
113	все в	2	3
114	все что	2	3
115	кроме того	3	3
116	всяком случае	3	3
117	человека из	2	3
118	оно не	2	3
119	и до	3	3
120	тому что	2	3
121	т п	4	3
122	на котором	4	3
123	например в	3	3
124	и у	2	3
125	друг друга	2	3
126	не из	5	3
127	тому как	2	3
128	и здесь	2	3
129	в своих	2	3
130	сказать что	8	3
131	само по	5	3
132	подобно тому	2	3
133	за ним	2	3
134	мы должны	2	3
135	если же	4	3
136	бы в	2	3
137	на вопрос	4	2
138	для создания	3	2
139	самого начала	2	2
140	связи с	3	2
141	уже и	2	2
142	от ее	2	2
143	ни был	3	2
144	хотя бы	4	2
145	он все	2	2
146	к сознанию	2	2
147	те же	3	2
148	человеческого духа	6	2
149	вопрос о	2	2
150	для понимания	2	2
151	его к	2	2
152	и к	6	2
153	что может	2	2
154	не есть	9	2
155	так что	5	2
156	мы видим	2	2
157	чем в	2	2
158	лишь один	2	2
159	при этом	15	2
160	есть и	2	2
161	тот же	2	2
162	только как	4	2
163	со своим	4	2
164	на себе	3	2
165	если б	4	2
166	конечно не	2	2
167	они могут	2	2
168	до сих	4	2
169	в котором	4	2
170	один из	2	2
171	в большинстве	2	2
172	нам кажется	2	2
173	на его	3	2
174	отношение к	2	2
175	сих пор	4	2
176	данном случае	2	2
177	мы уже	3	2
178	находится в	5	2
179	и вполне	2	2
180	то и	4	2
181	и даже	2	2
182	за собою	2	2
183	слово в	4	2
184	в той	4	2
185	здесь мы	2	2
186	в смысле	3	2
187	и что	7	2
188	именно на	2	2
189	из которых	2	2
190	на этот	2	2
191	между ними	4	2
192	для самого	2	2
193	она так	2	2
194	можно было	2	2
195	в данном	4	2
196	этот вопрос	3	2
197	то он	2	2
198	в которых	3	2
199	самое слово	4	2
200	в ней	2	2
201	и есть	3	2
202	в истории	4	2
203	мы его	3	2
204	могли бы	4	2
205	из тех	2	2
206	большинстве случаев	2	2
207	заметить что	6	2
208	в которой	6	2
209	мысли в	2	2
210	в сознании	4	2
211	с этим	7	2
