N	2gram	Medvedev_V_1	Mirosoze
1	может быть	22	30
2	не только	25	29
3	и в	26	28
4	не может	17	28
5	но и	10	25
6	а не	7	25
7	он не	2	24
8	в этом	26	20
9	не было	7	18
10	у него	6	17
11	не в	6	16
12	в ней	2	15
13	в своей	4	15
14	и есть	5	14
15	никогда не	4	14
16	человека и	3	14
17	в нем	6	13
18	человека в	2	13
19	и достоевский	2	12
20	и он	2	12
21	для него	8	11
22	в самом	4	11
23	и не	19	11
24	что в	10	10
25	в своем	8	10
26	достоевского и	2	10
27	прежде всего	13	10
28	что он	4	10
29	было бы	7	10
30	и потому	2	10
31	в творчестве	3	10
32	с тем	3	9
33	в его	14	9
34	и его	6	9
35	но не	2	8
36	в котором	3	8
37	того что	3	7
38	в конце	3	7
39	но в	2	7
40	в себе	6	7
41	он сам	2	6
42	в том	15	6
43	в этой	4	6
44	все это	10	6
45	лишь в	2	6
46	вместе с	7	6
47	только в	7	6
48	в которой	2	6
49	не могут	7	5
50	это не	7	5
51	мира и	3	5
52	у нас	2	5
53	как и	7	5
54	то что	6	5
55	нет и	3	5
56	смысле слова	2	4
57	в их	5	4
58	и по	3	4
59	а в	3	4
60	в которых	3	4
61	точки зрения	3	4
62	и этот	2	4
63	в них	4	4
64	один из	5	4
65	это и	6	4
66	она не	3	4
67	что и	3	4
68	значит что	2	4
69	к тому	4	3
70	и их	3	3
71	этот процесс	2	3
72	должно быть	2	3
73	его не	3	3
74	с этим	3	3
75	его в	3	3
76	с его	3	3
77	русских писателей	2	3
78	в жизни	2	3
79	в ее	4	3
80	том что	8	3
81	когда он	3	3
82	бы и	6	3
83	л толстого	5	3
84	идей и	3	3
85	будто бы	2	3
86	хотя бы	19	3
87	все его	2	3
88	может не	2	2
89	связана с	2	2
90	и мир	3	2
91	и от	3	2
92	своих героев	2	2
93	момент в	3	2
94	это особенно	2	2
95	что без	2	2
96	о чем	2	2
97	для того	3	2
98	одним из	5	2
99	в виду	4	2
100	себе и	2	2
101	жизни и	3	2
102	могут быть	5	2
103	отличается от	2	2
104	по отношению	7	2
105	все эти	6	2
106	показывает как	2	2
107	также и	2	2
108	сказать что	5	2
109	даже и	3	2
110	он и	2	2
111	самого себя	2	2
112	как бы	5	2
113	о том	10	2
114	как он	2	2
115	бы в	3	2
116	своем творчестве	3	2
117	а как	2	2
118	если бы	3	2
119	к этому	9	2
120	нет никаких	2	2
121	отношению к	7	2
122	в то	6	2
123	и к	3	2
124	относится к	2	2
125	должен быть	4	2
126	все же	5	2
127	я бы	2	2
128	в дневнике	2	2
129	приводит к	5	2
130	л толстой	10	2
131	бы не	2	2
132	т е	18	2
133	чтобы не	2	2
134	того чтобы	3	2
135	и у	2	2
136	и как	3	2
137	и для	2	2
138	к этим	2	2
139	конце концов	2	2
140	от его	2	2
