N	2gram	Vinokur_Ku_3	Mirosoze
1	может быть	14	30
2	не только	17	29
3	и в	23	28
4	не может	6	28
5	но и	3	25
6	а не	11	25
7	он не	3	24
8	в этом	16	20
9	не было	4	18
10	не в	5	16
11	потому что	12	16
12	в ней	3	15
13	в своей	4	15
14	и есть	5	14
15	в самом	13	11
16	и не	10	11
17	что в	13	10
18	в своем	4	10
19	был бы	3	10
20	прежде всего	9	10
21	что он	6	10
22	было бы	16	10
23	с тем	6	9
24	в его	11	9
25	не есть	3	9
26	но не	3	8
27	в котором	2	8
28	того что	11	7
29	но в	2	7
30	должна быть	3	6
31	в том	22	6
32	все это	2	6
33	лишь в	8	6
34	вместе с	2	6
35	только в	6	6
36	не могут	5	5
37	это не	3	5
38	и я	2	5
39	у нас	10	5
40	как и	5	5
41	то что	4	5
42	что есть	2	5
43	уже в	3	4
44	в этих	2	4
45	с этой	3	4
46	не знает	2	4
47	смысле слова	2	4
48	мог бы	2	4
49	отношение к	3	4
50	в их	6	4
51	а в	5	4
52	увидим что	2	4
53	в которых	3	4
54	точки зрения	23	4
55	не как	2	4
56	один из	4	4
57	xix века	3	4
58	это и	3	4
59	она не	3	4
60	за пределы	2	4
61	что и	6	4
62	есть не	3	4
63	уже не	8	4
64	тем что	5	4
65	и вот	3	3
66	к тому	3	3
67	для нас	4	3
68	но если	3	3
69	в свете	2	3
70	я хочу	3	3
71	не имеет	3	3
72	не так	3	3
73	должно быть	7	3
74	его в	2	3
75	так как	9	3
76	и с	3	3
77	на этом	2	3
78	в ее	4	3
79	том что	11	3
80	учение о	2	3
81	ничего не	6	3
82	конечно не	2	3
83	на том	2	3
84	когда он	2	3
85	бы и	3	3
86	хотя бы	9	3
87	по своему	2	2
88	вопрос о	11	2
89	о чем	2	2
90	для того	12	2
91	есть также	2	2
92	на этот	2	2
93	в виду	8	2
94	могут быть	6	2
95	отличается от	2	2
96	по отношению	3	2
97	быть не	2	2
98	все эти	7	2
99	и что	7	2
100	также и	5	2
101	сказать что	7	2
102	как бы	5	2
103	о том	6	2
104	как он	2	2
105	в россии	2	2
106	не значит	5	2
107	когда мы	3	2
108	одно только	2	2
109	если бы	8	2
110	отношению к	2	2
111	в то	3	2
112	чем в	2	2
113	до сих	8	2
114	и к	3	2
115	относится к	2	2
116	все же	5	2
117	сих пор	8	2
118	как в	4	2
119	мысли и	2	2
120	она может	2	2
121	и самый	2	2
122	бы не	3	2
123	т е	32	2
124	чтобы не	2	2
125	в той	4	2
126	того чтобы	11	2
127	и как	2	2
128	и нужно	2	2
129	он в	2	2
130	эти слова	2	2
131	в каком	3	2
132	на протяжении	2	2
133	не все	2	2
