N	3gram	Voloshinov_2	KulturaY
1	с точки зрения	13	16
2	в самом деле	5	11
3	для того чтобы	6	11
4	в том что	6	8
5	до сих пор	3	8
6	в зависимости от	2	7
7	той или иной	4	5
8	в связи с	7	4
9	с одной стороны	3	4
10	не может быть	10	3
11	того или иного	2	3
12	на самом деле	4	3
13	о том что	3	3
14	в отличие от	3	2
15	и того же	4	2
16	ни в какой	2	2
17	как мы видели	3	2
18	одним и тем	2	2
19	и тем же	2	2
20	смысле этого слова	4	2
21	в той или	3	2
22	более или менее	2	2
23	в таком случае	3	2
24	в двух направлениях	2	2
25	в русском языке	4	2
26	по отношению к	8	2
27	к тому же	2	2
28	одного и того	4	2
