N	2gram	Savitsky_P_1	Problema
1	и в	14	30
2	то что	4	18
3	не только	17	18
4	том что	4	17
5	в этом	10	17
6	но и	6	13
7	потому что	3	13
8	в том	9	12
9	в его	2	12
10	и не	12	12
11	в своем	4	11
12	в виде	2	10
13	для нас	2	10
14	точки зрения	3	10
15	но в	9	9
16	только в	7	9
17	никак не	2	8
18	хотя и	3	8
19	с точки	3	8
20	но не	3	7
21	может быть	5	7
22	не в	5	7
23	с другой	5	6
24	прежде всего	3	6
25	и как	3	6
26	как бы	4	6
27	в нем	3	6
28	а в	4	6
29	не менее	2	5
30	с тем	3	5
31	что в	4	5
32	в силу	2	5
33	и о	5	5
34	не может	4	5
35	а не	2	5
36	как раз	2	5
37	и с	2	5
38	в частности	2	4
39	отнюдь не	2	4
40	в смысле	6	4
41	было бы	6	4
42	в качестве	9	4
43	iii в	2	4
44	и к	4	4
45	в себе	3	4
46	в то	7	4
47	для них	2	3
48	именно в	2	3
49	еще более	2	3
50	в отношении	10	3
51	же в	4	3
52	в ее	2	3
53	в начале	2	3
54	в сравнении	3	3
55	тот же	3	3
56	одной стороны	3	3
57	для того	3	3
58	а также	4	3
59	в русской	4	3
60	и тем	2	3
61	с одной	3	3
62	того что	2	3
63	в ней	6	3
64	сравнении с	3	3
65	и без	3	2
66	в них	2	2
67	том числе	2	2
68	хотя бы	8	2
69	это не	3	2
70	по себе	4	2
71	то же	9	2
72	в европе	2	2
73	значительной мере	2	2
74	да и	2	2
75	вслед за	3	2
76	в котором	4	2
77	ii в	2	2
78	не к	2	2
79	из них	2	2
80	наряду с	3	2
81	мы не	3	2
82	эта идея	2	2
83	в значительной	2	2
84	между тем	3	2
85	есть в	2	2
86	в области	11	2
