N	2gram	Bakhtin_fo_1	Sovremen
1	не может	6	17
2	точки зрения	5	12
3	может быть	11	12
4	таким образом	11	11
5	мы не	3	9
6	в этом	25	7
7	и в	50	7
8	и не	14	6
9	как и	8	6
10	в результате	6	6
11	ничего не	9	6
12	прежде всего	15	5
13	все эти	9	5
14	с точки	2	5
15	в условиях	7	5
16	как бы	2	4
17	нет и	2	4
18	если мы	2	4
19	в целом	2	4
20	жизни и	8	4
21	вместе с	3	4
22	это не	6	4
23	а в	3	4
24	вопрос о	2	4
25	не только	9	4
26	с помощью	2	4
27	в том	9	4
28	в дальнейшем	6	4
29	их в	3	4
30	точку зрения	2	4
31	мы должны	2	4
32	так как	6	4
33	уже в	2	3
34	самого начала	2	3
35	все же	6	3
36	на этой	4	3
37	отнюдь не	5	3
38	между собой	4	3
39	все это	4	3
40	в конце	9	3
41	то же	11	3
42	ясно что	2	3
43	в нем	24	3
44	а не	3	3
45	и к	2	3
46	этим мы	2	3
47	для нас	2	3
48	с самого	2	3
49	не в	5	3
50	одна из	2	3
51	еще не	5	3
52	при этом	3	3
53	было бы	2	3
54	в одном	3	3
55	и все	6	3
56	как он	2	3
57	в себе	3	3
58	с необходимостью	2	3
59	но в	10	3
60	и потому	3	3
61	так сказать	7	2
62	совершенно не	2	2
63	не могут	3	2
64	в некоторых	2	2
65	у него	6	2
66	можно назвать	2	2
67	значение в	5	2
68	быть и	2	2
69	в нашем	2	2
70	но очень	2	2
71	и во	7	2
72	в отличие	2	2
73	что все	2	2
74	с одной	3	2
75	еще более	3	2
76	как мы	14	2
77	уже не	2	2
78	в свою	2	2
79	или иной	2	2
80	роль в	9	2
81	и даже	2	2
82	и по	2	2
83	он должен	2	2
84	и пространства	4	2
85	той же	2	2
86	мы видим	3	2
87	в таком	3	2
88	но все	5	2
89	необходимо отметить	2	2
90	во всяком	3	2
91	времени и	10	2
92	могут быть	5	2
93	с этим	6	2
94	что в	5	2
95	со всеми	3	2
96	в самом	8	2
97	в которой	2	2
98	отличие от	2	2
99	в его	13	2
