N	2gram	Ircho_Kome_2	FransuaR
1	и в	26	40
2	и его	12	17
3	прежде всего	4	16
4	в этом	10	15
5	не только	7	13
6	и не	14	13
7	в его	4	13
8	что в	9	12
9	вовсе не	2	12
10	как и	4	11
11	но и	10	11
12	таким образом	6	10
13	как мы	4	10
14	в них	4	9
15	и все	2	9
16	может быть	11	9
17	он не	2	9
18	во время	6	8
19	отношение к	2	8
20	в том	11	8
21	у него	4	8
22	и с	5	8
23	той же	3	8
24	и на	7	8
25	но в	3	8
26	в своем	6	7
27	в одном	2	7
28	в духе	2	7
29	до нас	4	7
30	то же	3	7
31	в виду	2	7
32	в этих	4	6
33	к этому	5	6
34	же время	3	6
35	в самом	4	6
36	во всех	3	6
37	в своей	3	6
38	в той	2	6
39	связи с	3	6
40	в то	6	6
41	в нем	6	5
42	то что	6	5
43	в связи	3	5
44	не было	3	5
45	и для	4	5
46	в нашем	2	4
47	и во	2	4
48	том что	9	4
49	здесь в	3	4
50	до сих	2	4
51	было бы	8	4
52	в ней	3	4
53	из них	7	4
54	даже в	2	4
55	ни в	5	4
56	один из	5	4
57	в мире	2	4
58	жизни и	3	4
59	сих пор	2	4
60	в их	3	4
61	все это	3	4
62	так в	2	4
63	еще более	2	4
64	роль в	2	4
65	о том	6	4
66	того чтобы	6	4
67	и здесь	6	4
68	в истории	5	4
69	так как	4	4
70	том числе	3	3
71	с его	5	3
72	если бы	9	3
73	в частности	4	3
74	и от	4	3
75	и к	2	3
76	об этом	2	3
77	он был	2	3
78	в ее	2	3
79	в начале	4	3
80	в этой	3	3
81	одна из	2	3
82	еще не	6	3
83	и есть	2	3
84	как бы	2	3
85	еще в	4	3
86	что и	7	3
87	вместе с	9	3
88	так и	12	3
89	как в	3	3
90	по отношению	3	3
91	не может	3	3
92	а в	3	3
93	мы находим	2	3
94	для того	5	3
95	для этой	2	3
96	но все	3	3
97	можно было	4	3
98	между тем	4	3
99	тем что	3	3
100	одно из	2	3
101	в отличие	2	3
102	только в	4	3
103	на протяжении	10	3
104	в конце	2	3
105	отличие от	2	3
106	в других	2	3
107	из самых	2	2
108	не менее	4	2
109	уже в	4	2
110	представление о	2	2
111	о чем	3	2
112	его современников	3	2
113	хотя бы	2	2
114	в течение	2	2
115	с другой	2	2
116	это не	2	2
117	из этих	4	2
118	больше чем	5	2
119	и был	2	2
120	что он	5	2
121	мы знаем	3	2
122	все же	4	2
123	на этом	2	2
124	но не	3	2
125	как известно	2	2
126	и другие	2	2
127	и сам	3	2
128	и если	2	2
129	тут же	2	2
130	например в	3	2
131	к нему	3	2
132	одним из	2	2
133	из этого	2	2
134	в котором	3	2
135	отношению к	3	2
136	в целом	4	2
137	и у	2	2
138	что для	4	2
139	рядом с	2	2
140	потому что	6	2
141	одной из	4	2
142	нового времени	2	2
143	с этим	5	2
144	точки зрения	4	2
145	и ее	2	2
146	и еще	2	2
147	в один	2	2
148	как он	3	2
149	и это	2	2
150	в которой	5	2
151	того же	3	2
152	по адресу	4	2
153	мы не	2	2
154	имеет в	2	2
