N	2gram	Tiupa_Hudo_1	Tragedij
1	и в	19	18
2	в романе	3	10
3	в году	2	9
4	в этом	11	9
5	не только	16	8
6	и не	15	7
7	и на	2	7
8	может быть	14	7
9	как бы	9	7
10	что он	3	6
11	и его	12	6
12	же время	5	6
13	но в	7	6
14	к жизни	2	5
15	так и	11	5
16	это не	2	5
17	не может	7	5
18	то же	10	5
19	как и	2	5
20	в то	6	5
21	но и	10	4
22	то что	4	4
23	в целом	3	4
24	что в	6	4
25	все это	2	4
26	я не	2	4
27	прежде всего	4	4
28	в нем	5	4
29	так же	2	4
30	том что	8	4
31	в этой	2	4
32	и что	3	4
33	в себе	9	4
34	еще не	3	4
35	об этом	2	4
36	один из	2	3
37	с ее	5	3
38	о чем	2	3
39	отнюдь не	2	3
40	в своем	2	3
41	никто не	2	3
42	как в	2	3
43	все эти	2	3
44	тем самым	4	3
45	и как	3	3
46	к нему	3	3
47	в его	9	3
48	для него	4	3
49	при этом	13	3
50	своего рода	5	3
51	мог бы	3	3
52	в мире	21	3
53	как это	5	3
54	с ним	2	3
55	то есть	18	3
56	что и	2	2
57	в душе	8	2
58	как говорит	3	2
59	в частности	13	2
60	в отличие	7	2
61	который в	2	2
62	дома и	2	2
63	уже не	4	2
64	с его	6	2
65	отношение к	5	2
66	говорит что	2	2
67	к тому	4	2
68	времени в	2	2
69	в ходе	5	2
70	ни в	5	2
71	в ее	5	2
72	в том	18	2
73	поведение в	2	2
74	отличие от	7	2
75	не в	7	2
76	в данном	4	2
77	и то	4	2
78	в рассказе	3	2
79	не случайно	3	2
80	одна из	2	2
81	потому что	3	2
82	личности и	3	2
83	в глаза	2	2
84	только о	2	2
85	и ее	3	2
86	к области	3	2
87	о том	2	2
88	его в	2	2
89	и это	2	2
90	в самом	5	2
91	для искусства	2	2
92	он не	4	2
93	в одном	2	2
94	что она	2	2
95	никогда не	2	2
