N	2gram	Bakhtin_KF_1	StatiiOP
1	и в	24	29
2	том что	4	27
3	в том	6	27
4	в этом	14	21
5	но и	9	19
6	что в	4	19
7	не только	5	19
8	о том	3	17
9	что он	2	13
10	в его	40	13
11	то что	7	11
12	все это	10	11
13	в своем	16	9
14	так и	2	9
15	и не	26	9
16	потому что	2	9
17	он не	6	9
18	и пр	3	8
19	но в	5	8
20	но все	5	7
21	с тем	2	7
22	в ней	3	7
23	в виду	3	7
24	в котором	24	7
25	я не	6	7
26	в своей	10	7
27	тому что	2	7
28	для того	3	7
29	в одном	4	6
30	вовсе не	7	6
31	вопрос о	2	6
32	все же	5	6
33	того чтобы	2	6
34	и его	17	6
35	и на	3	6
36	прежде всего	2	5
37	в качестве	2	5
38	было бы	8	5
39	как бы	9	5
40	а не	17	5
41	того что	3	5
42	между тем	4	5
43	точки зрения	12	5
44	времени и	4	4
45	а как	2	4
46	именно в	5	4
47	к этому	2	4
48	не в	12	4
49	для него	8	4
50	в нем	28	4
51	дело в	2	4
52	еще более	2	4
53	ничего не	3	4
54	в другом	3	4
55	не менее	3	3
56	что это	3	3
57	оно не	2	3
58	по себе	2	3
59	ни в	12	3
60	но это	6	3
61	но не	12	3
62	до конца	3	3
63	кажется что	2	3
64	и именно	2	3
65	никогда не	5	3
66	оба эти	2	3
67	самом деле	3	3
68	как в	2	3
69	в их	8	3
70	ни у	2	3
71	а с	2	3
72	не было	8	3
73	тем что	3	3
74	на самом	3	3
75	хотя бы	4	3
76	другое дело	2	3
77	и здесь	7	3
78	отношении к	2	3
79	что эта	2	3
80	ни было	4	2
81	если бы	8	2
82	если не	2	2
83	и я	5	2
84	меня в	3	2
85	конечно в	2	2
86	только по	2	2
87	что и	7	2
88	не должен	3	2
89	тем не	2	2
90	его как	5	2
91	в ее	16	2
92	не потому	2	2
93	как и	5	2
94	то ни	2	2
95	и как	2	2
96	из его	3	2
97	даны в	2	2
98	в этой	2	2
99	что я	5	2
100	в то	3	2
101	по своему	3	2
102	не дает	3	2
103	в это	2	2
104	может быть	45	2
105	не по	4	2
106	и потому	2	2
107	нет и	3	2
108	только в	16	2
109	бы то	2	2
110	в процессе	2	2
111	дело не	2	2
112	со стороны	7	2
113	совершенно не	6	2
114	не может	27	2
115	нигде не	3	2
116	что за	2	2
117	то же	5	2
118	все эти	10	2
119	при этом	4	2
120	там где	5	2
121	на первом	2	2
122	не имеет	5	2
123	с точки	9	2
124	что этот	3	2
125	где он	3	2
126	в данном	2	2
127	в каком	4	2
128	в себе	21	2
129	где я	4	2
130	от его	5	2
131	его в	5	2
132	и это	12	2
133	только с	3	2
134	в области	2	2
135	это было	2	2
