N	2gram	Losev_Vesc_1	Sotsiolo
1	все это	5	7
2	в том	8	5
3	в этом	4	5
4	не в	5	3
5	как же	3	3
6	для нас	2	3
7	и только	3	3
8	но ведь	2	3
9	в его	2	3
10	и в	21	3
11	не только	36	3
12	как только	4	2
13	еще не	8	2
14	было бы	14	2
15	она может	4	2
16	только в	14	2
17	в конце	2	2
18	нужно было	2	2
19	по существу	2	2
20	это и	6	2
21	таким образом	8	2
22	том что	8	2
23	то же	6	2
24	то что	27	2
25	может быть	16	2
26	в результате	3	2
27	и что	15	2
28	но и	18	2
29	дело не	2	2
30	в смысле	12	2
31	как бы	12	2
32	должна быть	4	2
33	конце концов	2	2
34	что в	9	2
