N	2gram	Bakhtin_Fr_2	Psycholo
1	и в	49	38
2	то что	6	35
3	в том	3	25
4	в самом	3	25
5	что в	2	20
6	может быть	5	19
7	на то	2	16
8	точки зрения	6	16
9	в ней	2	15
10	то есть	32	15
11	том что	4	14
12	как бы	11	14
13	в этой	10	13
14	в этом	15	13
15	было бы	3	12
16	не только	17	12
17	таким образом	7	12
18	что он	3	11
19	в сущности	8	10
20	то же	7	10
21	и не	15	10
22	и все	3	10
23	с точки	5	9
24	того чтобы	2	9
25	все же	7	8
26	в одном	3	8
27	вовсе не	10	8
28	как и	11	8
29	и это	3	8
30	с другой	4	7
31	в ее	3	7
32	мы можем	2	7
33	не может	7	7
34	как мы	7	7
35	а в	4	7
36	мы уже	6	7
37	из них	3	6
38	мы видели	3	6
39	до сих	4	6
40	один из	7	6
41	с одной	3	6
42	так как	6	6
43	и его	17	6
44	и на	17	6
45	о том	3	6
46	там где	4	6
47	в своем	5	5
48	одной стороны	3	5
49	несмотря на	3	5
50	совершенно не	2	5
51	в своей	5	5
52	вместе с	2	5
53	но и	13	5
54	сих пор	4	5
55	другой стороны	3	5
56	в другом	2	5
57	в его	18	5
58	никогда не	5	4
59	в тех	2	4
60	что они	2	4
61	при этом	5	4
62	во всех	6	4
63	в самой	2	4
64	она была	4	4
65	в нем	9	4
66	ее в	2	4
67	раз в	3	4
68	смысл и	2	4
69	в течение	3	4
70	все эти	7	4
71	и даже	2	4
72	в своих	4	4
73	сказать что	6	4
74	у него	2	4
75	только в	13	4
76	одна из	4	4
77	в себе	4	4
78	в виду	3	4
79	место в	3	3
80	как на	4	3
81	в них	13	3
82	та же	2	3
83	из этих	5	3
84	и к	4	3
85	ни в	3	3
86	он был	2	3
87	но это	2	3
88	эти два	2	3
89	тот же	5	3
90	ссылается на	2	3
91	и о	4	3
92	и значение	2	3
93	уже говорили	5	3
94	все это	9	3
95	того как	2	3
96	тем что	4	3
97	далеко не	3	3
98	в то	6	3
99	здесь не	2	3
100	в плане	3	3
101	но в	4	3
102	это был	2	2
103	одного из	2	2
104	но они	3	2
105	он видит	2	2
106	всех этих	3	2
107	и более	4	2
108	и другие	2	2
109	в этих	4	2
110	так например	2	2
111	и во	4	2
112	о человеке	2	2
113	на самом	2	2
114	во всяком	2	2
115	о мире	7	2
116	и эти	2	2
117	же в	3	2
118	до конца	2	2
119	по существу	2	2
120	есть в	2	2
121	только то	2	2
122	здесь в	6	2
123	для него	9	2
124	со всеми	2	2
125	должен был	2	2
126	но он	6	2
127	по преимуществу	2	2
128	к ней	2	2
129	всяком случае	2	2
130	с ее	3	2
131	благодаря этому	4	2
132	целый ряд	2	2
133	так же	2	2
134	отношения к	4	2
135	и вот	3	2
136	думать что	2	2
137	в качестве	2	2
138	здесь с	2	2
139	в конце	2	2
140	их в	3	2
141	что только	2	2
142	автора и	2	2
143	и следовательно	2	2
144	как к	2	2
145	в истории	6	2
146	к первой	2	2
147	из своей	2	2
148	с ним	4	2
149	ничего не	2	2
150	в эту	5	2
