N	2gram	Tiupa_Lite_3	Poddanst
1	не только	14	17
2	и в	16	14
3	и не	22	12
4	в области	3	11
5	в этом	14	10
6	то же	9	9
7	в том	12	9
8	в качестве	5	9
9	но в	3	9
10	же время	7	7
11	в то	9	7
12	только в	7	7
13	быть может	2	6
14	но и	14	6
15	xix века	2	6
16	было бы	2	6
17	с другой	6	5
18	а я	3	5
19	не в	10	5
20	может быть	12	5
21	же в	2	4
22	то что	12	4
23	что в	2	4
24	если бы	2	4
25	не может	8	4
26	по себе	2	4
27	и к	3	4
28	а в	5	4
29	том что	8	4
30	и если	4	4
31	а также	4	4
32	как бы	8	4
33	и потому	2	4
34	в нем	2	3
35	это не	5	3
36	с одной	4	3
37	прежде всего	3	3
38	тем самым	7	3
39	для того	2	3
40	с точки	3	3
41	и как	3	3
42	с ними	2	3
43	между тем	3	3
44	но не	4	3
45	точки зрения	7	3
46	в себе	6	3
47	одной стороны	4	3
48	вслед за	3	3
49	потому что	3	3
50	хотя и	4	3
51	я и	10	3
52	не менее	2	2
53	том числе	3	2
54	и тем	3	2
55	в мире	16	2
56	именно в	5	2
57	во всех	2	2
58	хх века	11	2
59	в частности	11	2
60	время в	2	2
61	отнюдь не	3	2
62	в е	8	2
63	со стороны	7	2
64	во всей	2	2
65	как раз	2	2
66	отношения к	3	2
67	в жизни	8	2
68	пути в	4	2
69	и вот	2	2
70	стороны и	2	2
71	а не	12	2
72	того что	9	2
73	должно быть	4	2
74	в ее	5	2
75	как на	3	2
76	в начале	4	2
77	из них	4	2
78	например в	3	2
79	в его	6	2
80	и с	2	2
