N	2gram	Nazirov_Tv_2	NovoeSre
1	а не	6	17
2	не может	7	16
3	и в	20	16
4	и не	9	11
5	и есть	2	10
6	что в	7	9
7	он не	3	8
8	в том	8	8
9	как и	6	7
10	в этом	8	7
11	может быть	8	7
12	никогда не	11	6
13	не в	4	6
14	но это	5	6
15	в нем	3	5
16	все это	6	5
17	xix века	7	5
18	не только	13	5
19	не менее	2	4
20	то что	3	4
21	наше время	2	4
22	это не	7	4
23	не было	2	4
24	быть может	3	4
25	потому что	7	4
26	прежде всего	8	4
27	и мы	3	4
28	о том	5	4
29	и потому	4	4
30	к жизни	2	3
31	но и	8	3
32	в своей	6	3
33	в истории	2	3
34	жизни в	3	3
35	с другой	2	3
36	в наше	2	3
37	человека и	3	3
38	в духе	4	3
39	не означает	2	3
40	в мире	5	3
41	в ее	2	3
42	в основе	2	3
43	как в	4	3
44	еще не	5	3
45	наряду с	7	3
46	в россии	2	3
47	я не	2	2
48	все время	2	2
49	себя в	2	2
50	место в	3	2
51	у него	6	2
52	вместе с	3	2
53	так и	6	2
54	что она	4	2
55	другой стороны	2	2
56	и от	4	2
57	не знал	2	2
58	а в	4	2
59	все эти	4	2
60	уже не	3	2
61	нет и	2	2
62	такой же	2	2
63	роль в	2	2
64	зависит от	2	2
65	и даже	5	2
66	но не	5	2
67	ни к	2	2
68	так же	5	2
69	мы не	4	2
70	том что	4	2
71	же как	3	2
72	одна из	3	2
73	и с	8	2
74	и что	2	2
75	могут быть	2	2
76	права на	2	2
77	и на	5	2
78	в себе	3	2
79	в то	10	2
80	познания и	2	2
81	и это	3	2
82	xviii века	2	2
83	сильнее и	2	2
84	не могли	2	2
85	хотя и	4	2
86	более не	2	2
87	но в	4	2
