N	2gram	Berdyaev_O_1	TeoriaLi
1	не только	11	18
2	и не	13	16
3	а в	5	14
4	и в	19	13
5	может быть	11	12
6	так и	2	12
7	в этом	12	11
8	в том	5	11
9	а не	11	10
10	и его	4	10
11	в его	7	9
12	в душе	2	8
13	что в	4	8
14	но и	13	8
15	в себе	3	7
16	том что	2	7
17	с его	4	6
18	еще не	3	6
19	лишь в	7	6
20	как бы	3	6
21	в русской	3	6
22	но в	2	6
23	в своем	2	5
24	в ее	2	5
25	как и	6	5
26	не в	11	5
27	в самом	5	5
28	в нем	10	5
29	он не	7	5
30	личности и	2	4
31	в своей	2	4
32	то что	5	4
33	отношение к	5	4
34	не может	4	4
35	сказать что	2	4
36	хотя и	2	4
37	но он	7	4
38	и ее	3	4
39	никогда не	9	3
40	в этих	3	3
41	прежде всего	9	3
42	и к	2	3
43	человека к	2	3
44	для него	5	3
45	того что	3	3
46	и потому	2	3
47	не все	2	3
48	в другом	2	3
49	и вот	3	3
50	и то	2	3
51	потому что	9	3
52	в этой	5	3
53	его в	2	3
54	все эти	4	3
55	могут быть	3	2
56	жизни в	2	2
57	это не	3	2
58	по себе	2	2
59	что он	3	2
60	что они	2	2
61	этом мире	2	2
62	к нему	3	2
63	как к	2	2
64	и для	2	2
65	и о	2	2
66	у него	22	2
67	человеческих отношений	4	2
68	о том	3	2
69	в которой	2	2
70	это было	3	2
