N	3gram	Losev_Vlad_3	VeschiIm
1	не может быть	6	18
2	это значит что	6	17
3	бы то ни	3	9
4	на то что	2	6
5	в том что	10	6
6	тем не менее	9	5
7	содержит в себе	4	5
8	то же время	2	4
9	с точки зрения	6	4
10	в то же	3	4
11	и то что	4	4
12	более или менее	5	3
13	само по себе	3	3
14	сам по себе	2	3
15	вместе с тем	6	3
16	и в то	2	3
17	что это есть	2	2
18	к тому что	2	2
19	дело в том	5	2
20	никакого отношения к	3	2
21	но даже и	2	2
22	в данном случае	2	2
23	то это значит	4	2
24	но еще и	2	2
25	так или иначе	2	2
