N	2gram	Bakhtin_fo_1	Problemy
1	и в	50	34
2	и не	14	29
3	как бы	2	27
4	в его	13	22
5	к другому	2	20
6	может быть	11	19
7	в нем	24	19
8	не может	6	19
9	и все	6	19
10	как и	8	18
11	себе самому	4	18
12	к себе	4	17
13	но в	10	16
14	все это	4	16
15	и его	16	16
16	в этом	25	16
17	и с	4	15
18	прежде всего	15	15
19	он не	5	15
20	то же	11	14
21	с самим	5	14
22	для него	2	13
23	но и	8	12
24	же время	9	12
25	и к	2	12
26	потому что	4	12
27	в то	9	12
28	вовсе не	13	11
29	в сущности	3	11
30	то что	6	11
31	не только	9	10
32	слова и	2	10
33	в отношении	3	9
34	не в	5	9
35	самим собою	3	9
36	а не	3	9
37	героя и	7	9
38	самого начала	2	8
39	никогда не	2	8
40	себя и	3	8
41	с самого	2	8
42	в самом	8	8
43	и т	8	8
44	так же	6	8
45	точки зрения	5	8
46	с ним	2	8
47	и для	4	8
48	что в	5	7
49	и даже	2	7
50	все же	6	7
51	как мы	14	7
52	что не	3	7
53	там где	2	7
54	в пределах	5	6
55	отношение к	2	6
56	не знает	3	6
57	самим собой	2	6
58	и на	8	6
59	с его	9	6
60	мы уже	11	6
61	для себя	7	6
62	отношению к	5	6
63	так и	12	6
64	т п	8	6
65	в себе	3	6
66	только в	4	6
67	это не	6	5
68	в конце	9	5
69	к тому	3	5
70	но все	5	5
71	того что	2	5
72	себе и	3	5
73	в целом	2	5
74	по отношению	3	5
75	таким образом	11	5
76	на них	2	5
77	лишь в	6	5
78	а в	3	5
79	мы должны	2	5
80	с тем	3	5
81	в одном	3	5
82	что и	3	5
83	к своему	2	5
84	и у	5	5
85	хотя бы	2	5
86	во всяком	3	5
87	в чем	2	5
88	но на	4	4
89	друг другу	2	4
90	с другой	2	4
91	что все	2	4
92	ни в	8	4
93	да и	3	4
94	у него	6	4
95	при этом	3	4
96	не о	2	4
97	все эти	9	4
98	рядом с	2	4
99	в начале	3	4
100	его в	3	4
101	так как	6	4
102	если бы	5	4
103	как раз	13	4
104	но не	5	4
105	еще не	5	4
106	как в	6	4
107	только на	3	4
108	и прежде	2	4
109	с точки	2	4
110	с другими	3	4
111	тем что	2	4
112	и это	4	4
113	ничего не	9	4
114	вместе с	3	4
115	уже в	2	3
116	он только	2	3
117	в том	9	3
118	совсем не	2	3
119	в глаза	2	3
120	до конца	4	3
121	но для	2	3
122	хотя и	3	3
123	в виду	3	3
124	в котором	4	3
125	герою и	2	3
126	есть только	2	3
127	с ее	6	3
128	уже говорили	3	3
129	жизни и	8	3
130	его и	2	3
131	для других	4	3
132	характер и	7	3
133	их в	3	3
134	в ней	4	3
135	но он	2	3
136	во всем	2	3
137	как он	2	3
138	в последующем	4	3
139	в романах	2	3
140	не как	2	3
141	и во	7	3
142	раз и	2	3
143	по себе	2	3
144	в ее	6	3
145	том что	4	3
146	к концу	3	3
147	нет и	2	3
148	в своей	2	3
149	и как	10	3
150	и то	4	3
151	далеко не	2	3
152	не было	7	2
153	человек в	3	2
154	в роман	4	2
155	понятно что	4	2
156	вообще не	3	2
157	вследствие этого	3	2
158	вопрос о	2	2
159	или иной	2	2
160	было и	4	2
161	мы и	4	2
162	о своей	2	2
163	нет в	2	2
164	например в	6	2
165	других для	2	2
166	же и	2	2
167	нет здесь	3	2
168	был бы	3	2
169	не является	2	2
170	один из	3	2
171	в этот	2	2
172	в форме	3	2
173	друг друга	3	2
174	в своем	4	2
175	чем не	3	2
176	не для	2	2
177	те же	2	2
178	не входит	2	2
179	друг на	2	2
180	в которых	2	2
181	с этим	6	2
182	той или	2	2
183	на друга	2	2
184	и определяется	2	2
185	иной характер	2	2
186	сказать что	3	2
187	человек и	2	2
188	как она	2	2
189	мире и	2	2
190	или как	4	2
191	а как	3	2
192	всех этих	5	2
193	вдруг и	6	2
194	отнюдь не	5	2
195	в них	4	2
196	он должен	2	2
197	здесь и	2	2
198	определяется не	2	2
199	в жизни	6	2
200	его целом	2	2
201	и того	6	2
202	время не	2	2
203	более того	3	2
204	того же	8	2
205	было бы	2	2
206	со всеми	3	2
207	раз в	4	2
208	конечно не	4	2
209	во всех	6	2
210	вполне понятно	4	2
211	к ней	2	2
212	и потому	3	2
213	быть и	2	2
214	и события	2	2
215	всего этого	2	2
216	всем этим	3	2
217	в отличие	2	2
218	входит в	3	2
219	тому же	2	2
220	жизнь и	4	2
221	еще более	3	2
222	в той	4	2
223	уже не	2	2
224	речи в	2	2
225	в которой	2	2
226	той же	2	2
227	между двумя	6	2
228	вступает в	2	2
229	сохраняется и	2	2
230	и ее	3	2
231	и вообще	2	2
232	так сказать	7	2
233	этими двумя	3	2
234	отличие от	2	2
235	все его	3	2
