N	2gram	Vinokur_Ku_2	NovoeSre
1	а не	10	17
2	не может	9	16
3	и в	23	16
4	и не	16	11
5	и есть	2	10
6	что в	10	9
7	как не	3	8
8	он не	3	8
9	в том	19	8
10	как и	2	7
11	в этом	18	7
12	может быть	15	7
13	никогда не	2	6
14	не знает	3	6
15	не в	8	6
16	лишь в	5	6
17	но это	3	6
18	ни в	4	6
19	должен быть	5	5
20	в нем	4	5
21	все это	5	5
22	в ней	3	5
23	не только	20	5
24	не менее	7	4
25	то что	9	4
26	наше время	2	4
27	в них	4	4
28	это не	6	4
29	и все	2	4
30	не было	4	4
31	не имеет	4	4
32	и для	2	4
33	должно быть	4	4
34	потому что	25	4
35	прежде всего	8	4
36	и потому	2	4
37	но и	7	3
38	революции и	2	3
39	должна быть	5	3
40	в своей	2	3
41	с другой	8	3
42	в наше	2	3
43	вопрос о	9	3
44	и пр	8	3
45	к тому	4	3
46	что такое	3	3
47	с тем	2	3
48	смысле слова	2	3
49	конечно не	2	3
50	как в	3	3
51	она не	2	3
52	еще не	5	3
53	сказать что	4	3
54	что все	5	2
55	я не	5	2
56	у него	3	2
57	вместе с	5	2
58	все они	2	2
59	так и	4	2
60	что она	3	2
61	для этого	3	2
62	другой стороны	7	2
63	и от	2	2
64	мы говорим	2	2
65	а в	3	2
66	с одной	2	2
67	этом смысле	5	2
68	все эти	12	2
69	в одну	2	2
70	уже не	8	2
71	роль в	2	2
72	того чтобы	11	2
73	и даже	2	2
74	хотя бы	9	2
75	но не	6	2
76	ни к	15	2
77	вот почему	3	2
78	так же	4	2
79	по существу	5	2
80	это и	3	2
81	том что	11	2
82	можно было	9	2
83	в русском	10	2
84	есть в	3	2
85	же как	2	2
86	и с	7	2
87	и что	8	2
88	могут быть	4	2
89	с этим	3	2
90	и на	6	2
91	ли это	2	2
92	в то	4	2
93	как будто	2	2
94	и это	3	2
95	как это	5	2
96	но для	3	2
97	хотя и	4	2
98	но в	11	2
