N	2gram	Propp_Isto_6	slovoVRo
1	и в	26	39
2	может быть	11	37
3	и т	10	35
4	и его	7	33
5	не только	10	24
6	и не	10	22
7	но и	9	21
8	не может	6	20
9	в нем	8	19
10	в этом	12	16
11	так и	5	15
12	а не	2	14
13	как в	6	13
14	вовсе не	2	10
15	к своему	3	9
16	не в	3	9
17	и с	6	9
18	прежде всего	4	8
19	таким образом	12	8
20	с его	4	7
21	при этом	3	7
22	еще не	9	7
23	в его	5	7
24	как бы	4	7
25	никогда не	13	7
26	в этих	2	7
27	как мы	4	7
28	могут быть	3	7
29	с ним	8	7
30	в него	3	7
31	в них	3	6
32	этом случае	6	6
33	все же	8	6
34	как и	5	6
35	в своем	2	6
36	но не	2	6
37	она не	3	6
38	жизни и	2	6
39	там где	5	6
40	все эти	8	6
41	но в	7	6
42	с другой	10	5
43	это не	4	5
44	для нас	2	5
45	том что	10	5
46	но все	2	5
47	одной стороны	7	5
48	только в	5	5
49	в том	12	5
50	например в	7	5
51	один из	3	5
52	с одной	7	5
53	человека в	2	5
54	уже не	7	5
55	и наконец	3	5
56	с ними	2	5
57	от него	3	5
58	мира и	2	5
59	и др	2	4
60	но здесь	4	4
61	ни в	2	4
62	отношению к	2	4
63	зависимости от	2	4
64	одна из	2	4
65	по отношению	2	4
66	его не	2	4
67	то же	5	4
68	что оно	4	4
69	и других	3	4
70	а в	3	4
71	и на	12	4
72	в то	5	4
73	его в	5	4
74	здесь не	2	4
75	так как	18	4
76	или как	2	4
77	борьбы с	3	3
78	перед нами	2	3
79	и там	6	3
80	что в	12	3
81	и от	3	3
82	отметить что	2	3
83	должна быть	3	3
84	стороны и	2	3
85	что и	4	3
86	но это	4	3
87	у него	7	3
88	всех его	2	3
89	и как	2	3
90	в ней	5	3
91	связано с	4	3
92	в некоторых	2	3
93	героя в	2	3
94	а также	4	3
95	связан с	6	3
96	сказать что	3	3
97	может иметь	2	3
98	ту же	2	3
99	как это	5	3
100	во всяком	2	3
101	например у	3	2
102	в данном	3	2
103	не было	3	2
104	независимо от	3	2
105	и другие	3	2
106	однако в	2	2
107	на котором	3	2
108	но он	2	2
109	того как	3	2
110	не всегда	4	2
111	в себе	3	2
112	что он	9	2
113	в одно	2	2
114	все что	4	2
115	мы уже	6	2
116	вокруг него	3	2
117	всяком случае	2	2
118	даже в	2	2
119	но мы	2	2
120	сих пор	4	2
121	на его	4	2
122	мы видели	11	2
123	то что	6	2
124	вместе с	8	2
125	на него	2	2
126	а именно	9	2
127	в форме	2	2
128	кроме того	3	2
129	отличается от	2	2
130	так в	6	2
131	здесь уже	2	2
132	и свои	2	2
133	с этим	2	2
134	т д	8	2
135	в виде	6	2
136	мы не	6	2
137	они не	3	2
138	именно на	2	2
139	или в	3	2
140	людей и	2	2
141	в более	6	2
142	он не	2	2
143	далеко не	3	2
144	но как	4	2
145	о том	7	2
146	как он	6	2
147	которые в	2	2
148	оно может	2	2
149	в одном	3	2
150	из него	2	2
151	до сих	4	2
