N	2gram	Berdyaev_O_1	Narrotol
1	не только	11	32
2	может быть	11	25
3	но и	13	23
4	и не	13	20
5	и в	19	19
6	в том	5	18
7	в этом	12	17
8	том что	2	14
9	не в	11	14
10	а не	11	12
11	то что	5	11
12	а в	5	11
13	не может	4	10
14	так и	2	9
15	в его	7	9
16	в себе	3	8
17	как и	6	7
18	еще не	3	7
19	все же	2	7
20	с его	4	6
21	что он	3	6
22	о том	3	6
23	но в	2	6
24	по себе	2	5
25	не все	2	5
26	к нему	3	5
27	и его	4	5
28	в этой	5	5
29	прежде всего	9	4
30	в нем	10	4
31	у него	22	4
32	что не	4	4
33	было бы	3	4
34	как бы	3	4
35	хотя бы	3	4
36	сказать что	2	4
37	и с	2	4
38	жизни в	2	3
39	что в	4	3
40	могут быть	3	3
41	никогда не	9	3
42	уже в	2	3
43	что они	2	3
44	хотя и	2	3
45	он не	7	3
46	не есть	2	3
47	когда он	3	3
48	в ее	2	3
49	и он	8	3
50	и на	2	3
51	тем что	2	3
52	он сам	4	2
53	с чем	2	2
54	в своем	2	2
55	что у	2	2
56	быть может	3	2
57	различие между	3	2
58	для него	5	2
59	и потому	2	2
60	не имеет	2	2
61	в самую	4	2
62	отношение к	5	2
63	как к	2	2
64	не было	9	2
65	все эти	4	2
66	человека в	11	2
67	и для	2	2
68	это не	3	2
69	одно из	2	2
70	и ее	3	2
71	и все	10	2
72	его в	2	2
73	ничего не	2	2
