N	3gram	Vinokur_St_1	Vladivir
1	в том что	17	10
2	тем не менее	2	9
3	о том что	11	8
4	с точки зрения	8	6
5	а также и	2	6
6	не может быть	5	6
7	и в этом	3	5
8	дело в том	4	5
9	что же касается	3	5
10	в то время	2	4
11	и то что	2	4
12	том что в	3	3
13	с одной стороны	2	3
14	только в том	3	3
15	хотя бы и	2	3
16	в то же	4	3
17	во всяком случае	6	3
18	то что в	2	3
19	что и в	4	3
20	то же время	4	2
21	в данном случае	6	2
22	так же как	3	2
23	не имеет ничего	2	2
24	и в том	2	2
25	ничего общего с	3	2
26	на то что	4	2
27	с другой стороны	6	2
28	в этом отношении	7	2
29	имеет ничего общего	2	2
30	так или иначе	2	2
