N	2gram	Tiupa_Disk_2	Myshleni
1	и в	16	25
2	в том	8	23
3	том что	10	20
4	внутренней речи	3	19
5	что в	5	17
6	в основе	4	16
7	как и	16	15
8	то что	5	15
9	в его	3	15
10	в этом	16	14
11	вместе с	2	14
12	может быть	16	13
13	в целом	2	13
14	в качестве	16	12
15	перед нами	3	10
16	как бы	4	10
17	и не	15	10
18	что и	2	10
19	только в	3	10
20	как в	8	9
21	ни в	7	9
22	не является	4	8
23	столь же	3	7
24	все эти	3	7
25	по своей	6	7
26	в области	2	7
27	не менее	7	6
28	с другой	5	6
29	как уже	2	6
30	не в	3	6
31	же как	2	6
32	совпадает с	2	6
33	не может	9	6
34	и на	5	6
35	потому что	4	6
36	что он	2	6
37	представляет собой	11	6
38	но не	7	6
39	того же	2	6
40	не только	10	6
41	все же	6	6
42	в отличие	12	6
43	точки зрения	4	6
44	все это	2	6
45	отличие от	12	6
46	так и	9	5
47	именно в	2	5
48	и как	3	5
49	но это	3	5
50	для него	5	5
51	одной стороны	4	5
52	при этом	17	5
53	с одной	4	5
54	отношения между	2	5
55	с ее	2	5
56	о том	4	5
57	входит в	2	5
58	могут быть	3	5
59	в этой	4	5
60	в частности	12	4
61	никогда не	2	4
62	в своем	5	4
63	из этих	3	4
64	прежде всего	7	4
65	отнюдь не	6	4
66	из них	3	4
67	но и	11	4
68	не столько	3	4
69	а в	2	4
70	в то	5	4
71	мы имеем	2	4
72	и все	3	4
73	и того	3	4
74	одного и	3	4
75	еще не	6	4
76	он не	3	4
77	приводит к	3	4
78	речи в	2	4
79	той же	2	4
80	и это	2	4
81	в себя	2	3
82	в котором	3	3
83	другой стороны	2	3
84	по отношению	4	3
85	этом отношении	4	3
86	в результате	2	3
87	их в	2	3
88	между тем	2	3
89	его в	3	3
90	состоит в	16	3
91	к этому	4	3
92	или иной	3	3
93	с ней	2	3
94	а с	5	3
95	место в	2	2
96	то же	6	2
97	в этих	3	2
98	и одновременно	2	2
99	одного из	4	2
100	всякий раз	2	2
101	является не	2	2
102	такого рода	9	2
103	той или	3	2
104	в нем	7	2
105	с той	2	2
106	заключает в	2	2
107	того и	2	2
108	должно быть	2	2
109	как на	3	2
110	что как	2	2
111	в своих	6	2
112	говорит об	2	2
113	с его	6	2
114	к жизни	3	2
115	в них	3	2
116	и другого	2	2
117	в одном	4	2
118	или иного	2	2
119	на первый	2	2
120	с их	2	2
121	и может	3	2
122	иначе говоря	3	2
123	а также	8	2
124	еще в	3	2
125	отношению к	4	2
126	в мире	11	2
127	слова не	2	2
128	в своей	6	2
129	другого в	2	2
130	уже не	3	2
131	тем самым	6	2
132	и для	2	2
133	и его	3	2
134	тому как	2	2
135	и то	4	2
136	в себе	19	2
