N	2gram	Bakhtin_Pr_3	Formalny
1	и в	53	24
2	в его	8	23
3	прежде всего	15	22
4	и не	15	20
5	так и	6	18
6	не может	2	16
7	точки зрения	4	16
8	в этом	8	15
9	в нем	10	14
10	может быть	12	14
11	с точки	2	13
12	таким образом	6	13
13	не менее	3	11
14	как и	11	11
15	в своей	3	11
16	в их	2	11
17	вовсе не	3	10
18	и ее	6	10
19	и их	2	10
20	то же	6	10
21	в ней	7	10
22	а не	11	10
23	и его	10	10
24	и потому	5	9
25	все это	8	9
26	в то	5	9
27	в ее	3	8
28	же время	5	8
29	именно в	2	8
30	литературы в	3	8
31	то что	9	8
32	как в	7	8
33	и на	18	8
34	не в	2	8
35	и с	6	8
36	место в	2	7
37	и от	3	7
38	не только	4	7
39	жизни и	9	7
40	но и	7	7
41	и все	10	6
42	было бы	5	6
43	в том	14	6
44	более или	3	6
45	до сих	5	6
46	еще не	5	6
47	как бы	14	6
48	сих пор	5	6
49	или менее	3	6
50	а в	2	6
51	все эти	9	6
52	форм и	2	6
53	на основе	2	6
54	на литературу	3	6
55	как это	2	6
56	хотя бы	2	5
57	формы и	3	5
58	в литературе	5	5
59	при этом	3	5
60	и др	14	5
61	во всех	12	5
62	в самом	2	5
63	и до	5	5
64	как мы	5	5
65	с другой	2	5
66	но в	5	5
67	с его	2	4
68	главным образом	3	4
69	никогда не	2	4
70	с другими	3	4
71	и к	5	4
72	в мире	5	4
73	конечно не	4	4
74	быть и	2	4
75	по отношению	2	4
76	в связи	2	4
77	что в	2	4
78	в которой	2	4
79	в истории	3	4
80	отчасти и	2	4
81	но не	5	3
82	в них	2	3
83	в жизни	8	3
84	на все	2	3
85	что он	4	3
86	смысле этого	2	3
87	но это	3	3
88	зависимости от	2	3
89	в большинстве	4	3
90	в каждом	4	3
91	так например	2	3
92	со всеми	8	3
93	действительности и	2	3
94	на язык	4	3
95	не о	2	3
96	он не	3	3
97	один из	6	3
98	и отчасти	2	3
99	отношение к	6	3
100	значение в	4	3
101	значение и	2	3
102	влияние на	12	3
103	в особенности	2	3
104	особенно в	4	3
105	не было	4	3
106	и других	9	3
107	не боится	2	3
108	мы не	4	3
109	и наконец	2	3
110	и даже	2	3
111	между ними	2	3
112	его в	2	3
113	наконец в	2	3
114	более того	6	3
115	в основе	5	3
116	они не	3	3
117	в себе	5	3
118	исторической поэтики	2	3
119	здесь не	4	3
120	так сказать	5	3
121	в области	3	3
122	прежде чем	2	2
123	и более	2	2
124	определяющее влияние	4	2
125	в зависимости	2	2
126	жизни в	3	2
127	это не	6	2
128	и особенно	3	2
129	с этим	2	2
130	ярко проявляется	2	2
131	здесь в	10	2
132	и заключается	2	2
133	по существу	5	2
134	мы видели	2	2
135	каждого из	2	2
136	перейти к	2	2
137	литературы и	2	2
138	одна из	7	2
139	совокупности всех	2	2
140	только в	4	2
141	и если	3	2
142	одной из	4	2
143	к другим	2	2
144	в новое	4	2
145	что и	3	2
146	вместе с	2	2
147	он в	2	2
148	во всей	4	2
149	ко всем	2	2
150	менее всего	2	2
151	для этой	2	2
152	для других	2	2
153	значение для	2	2
154	между тем	2	2
155	и самый	5	2
156	даже и	2	2
157	или на	2	2
158	в своих	2	2
159	на его	3	2
160	ничего не	6	2
161	и это	3	2
162	во всем	2	2
163	большинстве случаев	4	2
164	с ним	2	2
165	в эту	3	2
