N	2gram	Bakhtin_Pr_1	Literetu
1	не только	13	24
2	при этом	3	19
3	но и	11	17
4	а не	20	16
5	в том	11	16
6	том что	9	14
7	может быть	21	13
8	и не	34	12
9	сознания в	2	12
10	в этом	25	12
11	прежде всего	7	11
12	в своем	8	11
13	то что	18	10
14	не в	6	8
15	в целом	4	8
16	и в	23	8
17	только в	8	8
18	я не	3	7
19	в его	24	7
20	как бы	28	7
21	уже не	8	7
22	в себе	5	7
23	в рамках	2	6
24	в жизни	6	6
25	как и	8	6
26	и сам	2	6
27	себя в	3	6
28	того что	2	6
29	точки зрения	21	6
30	то есть	24	6
31	с его	6	5
32	что он	10	5
33	же в	2	5
34	же время	7	5
35	для себя	2	5
36	как в	6	5
37	не может	11	5
38	то же	10	5
39	в отличие	2	5
40	уже в	5	5
41	одним из	8	5
42	в данном	2	5
43	не столько	3	5
44	в то	10	5
45	отличие от	2	5
46	это не	10	4
47	о себе	9	4
48	в конце	5	4
49	чужого сознания	2	4
50	с миром	2	4
51	но не	8	4
52	еще не	5	4
53	и тем	2	4
54	все же	5	4
55	из них	2	4
56	в художественном	2	4
57	по преимуществу	3	4
58	в своей	11	4
59	данном случае	2	4
60	со стороны	2	4
61	так и	10	4
62	и т.п	3	4
63	никогда не	5	4
64	лишь в	3	4
65	друг друга	3	4
66	и его	13	4
67	как раз	4	4
68	в своих	2	4
69	не как	12	4
70	в этой	4	4
71	мир в	2	4
72	в основе	5	3
73	не было	3	3
74	что в	8	3
75	и есть	5	3
76	с другой	2	3
77	да и	2	3
78	одна из	2	3
79	художественного творчества	2	3
80	с их	5	3
81	в пределах	9	3
82	сознание в	3	3
83	например в	3	3
84	в самом	8	3
85	несмотря на	6	3
86	у него	6	3
87	в сфере	2	3
88	один из	2	3
89	исходит из	3	3
90	жизни и	6	3
91	в их	3	3
92	приводит к	3	3
93	по отношению	11	3
94	а в	7	3
95	таким образом	11	3
96	и даже	3	3
97	той же	6	3
98	потому что	12	3
99	во всяком	4	3
100	он и	5	3
101	к себе	2	3
102	но в	4	3
103	его в	4	3
104	в области	3	3
105	мира в	6	3
106	а как	6	2
107	должна быть	2	2
108	по этому	2	2
109	однако в	2	2
110	у достоевского	24	2
111	из этих	2	2
112	мир и	6	2
113	подобно тому	3	2
114	раз и	3	2
115	от автора	3	2
116	в себя	3	2
117	а потому	2	2
118	автора а	2	2
119	для понимания	3	2
120	в мире	7	2
121	из его	3	2
122	отношения между	2	2
123	и само	2	2
124	для него	15	2
125	е годы	2	2
126	своего времени	2	2
127	было бы	6	2
128	за пределы	6	2
129	в искусстве	2	2
130	и самого	4	2
131	всяком случае	3	2
132	даже в	2	2
133	в нем	20	2
134	отношению к	11	2
135	только то	3	2
136	в сущности	5	2
137	в е	2	2
138	то он	3	2
139	то и	2	2
140	не на	3	2
141	для своего	2	2
142	этом отношении	5	2
143	человеческого духа	2	2
144	все эти	8	2
145	самом деле	5	2
146	хотя бы	2	2
147	и вполне	2	2
148	с точки	15	2
149	что для	2	2
150	роль в	2	2
151	можно было	3	2
152	тому как	3	2
153	в авторском	3	2
154	между тем	5	2
155	героя с	2	2
156	тем что	3	2
157	самим собою	2	2
158	на себя	3	2
159	как будто	3	2
160	автора в	2	2
161	о том	2	2
162	творческого процесса	3	2
163	как он	2	2
164	его сознания	3	2
165	в кругозоре	2	2
166	в сознании	2	2
