N	2gram	Berdyaev_N_1	Istorich
1	и в	16	26
2	никогда не	6	13
3	потому что	4	13
4	что в	9	12
5	в том	8	12
6	и на	2	12
7	в этом	7	12
8	может быть	7	11
9	с другой	3	10
10	том что	2	10
11	и не	11	10
12	не только	5	10
13	еще не	3	9
14	но и	3	9
15	в нем	5	8
16	вместе с	2	8
17	другой стороны	2	8
18	все эти	2	8
19	и это	2	8
20	уже не	2	7
21	с одной	2	7
22	одной стороны	2	7
23	у него	2	7
24	о том	4	7
25	но в	2	7
26	то что	4	6
27	как в	3	6
28	не может	16	6
29	и с	2	6
30	мы не	2	6
31	как и	7	5
32	связаны с	2	5
33	в ней	5	5
34	не будет	7	5
35	так и	2	5
36	и что	2	5
37	как это	2	5
38	в то	2	5
39	с тем	3	4
40	это не	4	4
41	прежде всего	4	4
42	зависит от	2	4
43	с его	6	4
44	но это	6	4
45	связана с	2	3
46	могут быть	2	3
47	в них	4	3
48	и от	2	3
49	должна быть	3	3
50	вопрос о	3	3
51	не в	6	3
52	такой же	2	3
53	же как	2	3
54	она не	3	3
55	наряду с	3	3
56	в своей	3	3
57	что она	2	3
58	а в	2	3
59	вот почему	2	3
60	время как	2	3
61	сказать что	3	3
62	в себе	2	3
63	не было	4	3
64	как будто	2	3
65	все время	2	2
66	не означает	3	2
67	с этим	2	2
68	не будут	2	2
69	к тому	3	2
70	одна из	2	2
71	но не	2	2
72	так же	2	2
73	в свои	2	2
74	но для	2	2
75	не есть	3	2
76	не имеет	4	2
77	жизни и	8	2
78	ни в	6	2
79	он не	8	2
80	а не	17	2
81	можно было	2	2
82	и формы	2	2
83	когда мы	2	2
84	мира и	2	2
85	значит что	4	2
