N	2gram	Berdyaev_O_1	Komedia
1	и в	19	22
2	т е	4	13
3	том что	2	12
4	в том	5	11
5	но и	13	11
6	не только	11	10
7	как и	6	9
8	может быть	11	9
9	и не	13	8
10	и его	4	8
11	о том	3	8
12	в этой	5	7
13	что в	4	6
14	что он	3	6
15	не в	11	6
16	а в	5	6
17	в которой	2	6
18	уже в	2	5
19	прежде всего	9	5
20	в его	7	5
21	в истории	2	5
22	так и	2	5
23	все это	6	5
24	потому что	9	5
25	к этому	2	4
26	в другом	2	4
27	что они	2	4
28	в нем	10	4
29	что и	2	4
30	тем что	2	4
31	и вот	3	4
32	так как	2	4
33	но в	2	4
34	вопрос о	10	3
35	и о	2	3
36	у него	22	3
37	хотя и	2	3
38	он не	7	3
39	все же	2	3
40	отношение к	5	3
41	всего в	2	3
42	и на	2	3
43	в этом	12	3
44	и с	2	3
45	могут быть	3	3
46	и ее	3	3
47	и все	10	3
48	его в	2	3
49	ничего не	2	3
50	он был	8	2
51	из всего	2	2
52	совсем не	2	2
53	до конца	7	2
54	еще не	3	2
55	было бы	3	2
56	и из	2	2
57	в самом	5	2
58	которую он	2	2
59	самого конца	2	2
60	то что	5	2
61	ее в	2	2
62	все что	3	2
63	не может	4	2
64	в других	2	2
65	до самого	5	2
66	что у	2	2
67	к нему	3	2
68	к ней	2	2
69	но он	7	2
70	в своих	3	2
71	в себе	3	2
