N	2gram	Losev_Prob_3	Narrotol
1	не только	14	31
2	но и	10	27
3	и не	35	23
4	при этом	4	19
5	может быть	28	15
6	в частности	2	14
7	в качестве	3	14
8	как и	10	13
9	а не	18	13
10	а в	5	13
11	только в	19	12
12	в этом	17	12
13	и в	44	11
14	в данном	9	11
15	такого рода	6	10
16	и его	5	10
17	то что	23	9
18	то есть	34	9
19	то же	13	8
20	в том	21	8
21	данном случае	7	8
22	не может	7	8
23	уже не	7	8
24	если бы	3	7
25	том что	12	7
26	но в	12	7
27	к тому	3	6
28	об этом	3	6
29	а также	4	6
30	не в	13	6
31	в самом	3	6
32	как бы	9	6
33	жизни и	6	6
34	как раз	8	6
35	или в	4	6
36	у чехова	3	6
37	в себе	8	6
38	в его	9	6
39	в этой	3	6
40	перед нами	8	5
41	можно сказать	6	5
42	той или	12	5
43	в своей	5	5
44	так и	10	5
45	тем самым	5	5
46	потому что	25	5
47	точки зрения	5	5
48	о чем	2	4
49	никогда не	6	4
50	или иной	8	4
51	все же	6	4
52	для него	3	4
53	то в	3	4
54	но не	3	4
55	прежде всего	3	4
56	еще не	5	4
57	в ней	5	4
58	и тем	9	4
59	в нем	9	4
60	из них	2	4
61	по себе	25	4
62	как в	5	4
63	и состоит	2	4
64	того что	8	4
65	хотя и	5	4
66	в то	9	4
67	что у	3	4
68	о том	6	4
69	не менее	10	3
70	он сам	4	3
71	что в	8	3
72	это уже	3	3
73	однако в	2	3
74	в нашем	5	3
75	в своем	5	3
76	это не	9	3
77	что он	9	3
78	тем не	10	3
79	у нас	10	3
80	и как	3	3
81	в начале	2	3
82	когда в	3	3
83	в целом	6	3
84	самом деле	3	3
85	но как	4	3
86	но именно	2	3
87	жизни а	3	3
88	и о	5	3
89	он не	8	3
90	не является	11	3
91	не было	5	3
92	именно в	2	3
93	героя в	2	3
94	едва ли	5	3
95	в слове	2	3
96	мы не	7	3
97	о ней	2	3
98	и то	14	3
99	также и	16	3
100	и с	9	3
101	и ее	3	3
102	как будто	3	3
103	и все	3	3
104	как это	2	3
105	могло бы	3	3
106	мы имеем	2	3
107	в известном	2	2
108	для них	2	2
109	отнюдь не	10	2
110	в этих	2	2
111	в конце	5	2
112	на то	3	2
113	о его	2	2
114	как мы	8	2
115	же в	3	2
116	да и	5	2
117	она может	2	2
118	с ее	2	2
119	по своему	2	2
120	чем он	2	2
121	одно и	3	2
122	и после	2	2
123	до сих	2	2
124	она не	3	2
125	ни о	3	2
126	у тургенева	2	2
127	никак не	9	2
128	и является	4	2
129	всяком случае	6	2
130	не имеет	9	2
131	хотя бы	3	2
132	себя в	2	2
133	вместе с	2	2
134	быть и	3	2
135	дело не	2	2
136	сих пор	2	2
137	только на	5	2
138	человеческой жизни	2	2
139	и тогда	3	2
140	другой стороны	5	2
141	только что	2	2
142	в отличие	2	2
143	в связи	7	2
144	и только	6	2
145	если не	3	2
146	и сама	2	2
147	все равно	3	2
148	в той	3	2
149	который в	2	2
150	тем же	2	2
151	и даже	14	2
152	и притом	4	2
153	с другой	7	2
154	и для	2	2
155	друг друга	2	2
156	столько же	2	2
157	отличие от	3	2
158	в таком	5	2
159	ничего не	3	2
160	нас в	4	2
161	сами по	6	2
162	в результате	2	2
163	сказать что	16	2
164	во всяком	9	2
165	мы можем	6	2
166	и от	9	2
167	он и	2	2
168	связи с	8	2
169	что мы	8	2
170	же самое	9	2
171	на ее	2	2
172	жизни но	2	2
173	дело в	4	2
174	ни от	4	2
175	здесь не	8	2
176	в чем	4	2
177	с ним	7	2
178	как она	2	2
179	это было	2	2
