N	2gram	Medvedev_F_3	Vvedenie
1	и т	11	42
2	т д	6	36
3	т е	32	35
4	и в	27	32
5	в том	7	31
6	в этом	18	30
7	может быть	25	26
8	том что	4	26
9	не только	9	22
10	для того	4	21
11	того чтобы	5	20
12	таким образом	18	19
13	то что	8	16
14	потому что	7	15
15	так как	9	15
16	не может	24	14
17	в самом	11	13
18	в нем	15	13
19	о том	4	13
20	со стороны	4	13
21	того что	3	12
22	в общем	2	12
23	и не	30	12
24	в его	7	12
25	только в	8	12
26	как мы	8	11
27	ясно что	3	11
28	и именно	2	11
29	в ее	4	11
30	в данном	6	11
31	что в	8	10
32	но в	6	9
33	и как	4	9
34	в истории	5	9
35	между тем	7	9
36	этом смысле	2	9
37	по себе	4	9
38	то же	15	9
39	в той	3	9
40	не менее	7	8
41	с другой	6	8
42	это не	3	8
43	тем не	2	8
44	не в	12	8
45	прежде всего	4	7
46	смысле этого	2	7
47	точки зрения	16	7
48	но не	5	7
49	было бы	6	7
50	все же	6	7
51	дело с	3	7
52	самом деле	16	7
53	не могут	10	6
54	из этих	2	6
55	смысле слова	2	6
56	же время	7	6
57	но и	10	6
58	все это	7	6
59	и даже	2	6
60	в то	7	6
61	его в	7	6
62	как он	2	6
63	с тем	7	6
64	вовсе не	28	6
65	как и	14	6
66	хотя бы	6	6
67	и его	19	6
68	тем что	5	6
69	и это	2	6
70	уже в	4	5
71	в какой	3	5
72	она есть	3	5
73	но если	2	5
74	как бы	8	5
75	и тем	3	5
76	в целом	4	5
77	данном случае	4	5
78	другой стороны	5	5
79	одним из	3	5
80	в которых	3	5
81	сказать что	3	5
82	в них	3	5
83	на почве	2	5
84	не есть	4	5
85	вместе с	6	5
86	т п	5	5
87	а не	17	5
88	могут быть	4	5
89	независимо от	5	4
90	в каждом	5	4
91	язык как	2	4
92	как о	2	4
93	всяком случае	6	4
94	в котором	2	4
95	этот процесс	3	4
96	по отношению	3	4
97	этом отношении	3	4
98	и что	3	4
99	но ведь	4	4
100	как это	4	4
101	в чисто	2	4
102	от этого	2	4
103	что он	6	4
104	еще не	6	4
105	отношению к	3	4
106	в своей	6	4
107	как раз	8	4
108	это только	2	4
109	уже не	3	4
110	и для	6	4
111	той же	3	4
112	во всяком	6	4
113	и ее	6	4
114	в себе	3	4
115	истории литературы	6	3
116	совсем не	5	3
117	что это	3	3
118	в этих	3	3
119	вообще не	2	3
120	в конце	3	3
121	бы и	3	3
122	можно сказать	3	3
123	к тому	4	3
124	да и	4	3
125	в этой	2	3
126	на этом	2	3
127	до конца	4	3
128	при этом	8	3
129	в ней	5	3
130	в виду	3	3
131	мы видели	4	3
132	из них	2	3
133	дело не	2	3
134	что она	2	3
135	в своем	2	3
136	все эти	6	3
137	так же	9	3
138	и на	3	3
139	в результате	5	3
140	говорить о	2	3
141	свое выражение	2	3
142	тогда когда	4	3
143	нисколько не	2	3
144	если бы	12	3
145	однако в	2	3
146	не как	2	3
147	к этому	2	3
148	стороны и	2	3
149	что уже	2	3
150	связи с	5	3
151	так чтобы	2	3
152	одной из	2	3
153	в сущности	2	3
154	должен быть	2	3
155	что и	2	3
156	наука о	3	3
157	дело в	2	3
158	что же	5	3
159	в каком	2	3
160	в области	2	3
161	в основу	2	2
162	все время	6	2
163	же как	3	2
164	должна быть	3	2
165	никогда не	5	2
166	тому что	3	2
167	для этого	2	2
168	в отношении	2	2
169	как следует	2	2
170	или иной	2	2
171	в дальнейшем	5	2
172	находятся в	2	2
173	но это	2	2
174	как совокупность	2	2
175	и др	2	2
176	какой бы	2	2
177	от других	2	2
178	от того	2	2
179	научной работы	2	2
180	в связи	4	2
181	языка или	2	2
182	с помощью	8	2
183	именно на	2	2
184	произведения и	3	2
185	действительности в	3	2
186	и те	4	2
187	не следует	3	2
188	и с	3	2
189	говорит он	5	2
190	чем же	2	2
191	нуждается в	3	2
192	он и	3	2
193	же самое	3	2
194	конце концов	2	2
195	бы в	6	2
196	так и	21	2
197	для них	7	2
198	уже знаем	2	2
199	и со	2	2
200	следует что	4	2
201	что собственно	2	2
202	на тему	2	2
203	история литературы	2	2
204	у нас	3	2
205	литературы и	3	2
206	учение о	2	2
207	того же	3	2
208	во всех	3	2
209	мы должны	2	2
210	жизни и	4	2
211	мы уже	3	2
212	литературное произведение	3	2
213	ни с	2	2
214	этого слова	2	2
215	но уже	2	2
216	так называемые	2	2
217	только на	4	2
218	и тогда	2	2
219	в языке	2	2
220	связь между	4	2
221	входит в	8	2
222	одной и	2	2
223	между ними	15	2
224	целое и	3	2
225	с точки	14	2
226	мы не	4	2
227	у них	2	2
228	тому как	5	2
229	мы можем	4	2
230	подобно тому	4	2
231	время в	3	2
232	на протяжении	2	2
233	познания и	2	2
234	если же	5	2
235	здесь не	2	2
236	одна из	2	2
237	ничего не	2	2
