N	2gram	Nazirov_Tv_1	Komedia
1	и в	21	26
2	и не	7	14
3	к тому	2	12
4	так и	2	12
5	и его	6	12
6	в том	7	11
7	может быть	5	11
8	но и	3	10
9	на протяжении	3	10
10	в этом	6	10
11	что в	12	9
12	том что	11	9
13	вместе с	2	9
14	и на	7	7
15	из них	2	7
16	не только	7	7
17	что и	2	7
18	в своем	4	6
19	то что	8	6
20	в нем	3	6
21	в двух	2	6
22	потому что	5	6
23	в то	15	6
24	о том	6	6
25	таким образом	5	6
26	с его	11	5
27	в которой	3	5
28	к этому	2	5
29	что он	6	5
30	а затем	2	5
31	в качестве	2	5
32	один из	4	5
33	так что	2	5
34	и с	3	5
35	больше чем	2	5
36	место в	3	4
37	уже в	3	4
38	не менее	6	4
39	в частности	2	4
40	у него	7	4
41	в этих	2	4
42	и от	4	4
43	прежде всего	4	4
44	как и	12	4
45	в целом	4	4
46	как будто	5	4
47	одной из	4	4
48	хотя и	3	4
49	в его	13	4
50	еще в	2	4
51	мира в	2	4
52	все же	5	4
53	не по	3	4
54	в самом	3	4
55	в в	2	4
56	за то	2	4
57	что для	2	4
58	только в	5	4
59	так как	3	4
60	в каждом	3	3
61	надо было	2	3
62	но если	3	3
63	жизни и	3	3
64	что его	2	3
65	но не	3	3
66	того же	2	3
67	же время	12	3
68	в ней	2	3
69	в котором	6	3
70	в своей	4	3
71	в их	3	3
72	все это	10	3
73	той же	3	3
74	то же	13	3
75	как в	8	3
76	а в	6	3
77	или в	2	3
78	человека в	6	3
79	не может	4	3
80	это время	2	3
81	в этой	5	3
82	но в	7	3
83	если в	2	2
84	и другие	3	2
85	отнюдь не	5	2
86	однако в	2	2
87	в лице	2	2
88	с другой	3	2
89	это не	4	2
90	в одной	2	2
91	представление о	3	2
92	в духе	2	2
93	вовсе не	5	2
94	с которым	2	2
95	об этом	2	2
96	не в	2	2
97	одна из	2	2
98	тот же	2	2
99	вслед за	2	2
100	одним из	4	2
101	он не	8	2
102	как бы	17	2
103	даже в	3	2
104	хотя бы	5	2
105	и т	3	2
106	в мире	4	2
107	что она	2	2
108	в отличие	2	2
109	т п	2	2
110	выступает против	2	2
111	еще более	2	2
112	мы находим	2	2
113	с самого	3	2
114	и у	2	2
115	в принципе	2	2
116	времени в	13	2
117	для этой	2	2
118	отличие от	2	2
119	в любви	2	2
120	свою вину	2	2
121	в один	2	2
122	и все	6	2
123	в первом	2	2
124	в виду	2	2
