N	2gram	Trubetskoy_1	Literetu
1	и в	23	19
2	может быть	16	17
3	то же	4	12
4	и не	8	11
5	в том	30	10
6	как и	9	10
7	но и	9	10
8	же время	2	9
9	не может	17	9
10	тогда как	6	9
11	в мире	6	9
12	в этом	12	9
13	в то	6	9
14	с другой	6	8
15	не только	7	8
16	том что	19	7
17	то что	18	7
18	так и	10	7
19	с одной	3	7
20	я в	2	7
21	и т.д	4	7
22	не менее	7	6
23	в себе	5	6
24	одной стороны	2	6
25	при этом	9	6
26	и на	6	6
27	столь же	5	5
28	я не	2	5
29	у нас	3	5
30	одна из	2	5
31	но не	2	5
32	он не	3	5
33	вместе с	6	5
34	того что	6	5
35	то есть	2	5
36	что в	8	4
37	тех кто	5	4
38	в частности	2	4
39	прежде всего	3	4
40	не в	8	4
41	отнюдь не	2	4
42	того же	9	4
43	для него	2	4
44	в ней	3	4
45	в его	5	4
46	даже в	3	4
47	жизни и	2	4
48	и других	2	4
49	так что	5	4
50	другой стороны	5	4
51	по отношению	9	4
52	каждый из	3	4
53	точки зрения	13	4
54	в области	4	4
55	никогда не	4	3
56	в себя	2	3
57	что он	7	3
58	в нем	3	3
59	по существу	6	3
60	одним из	4	3
61	в начале	2	3
62	такой же	2	3
63	в этой	6	3
64	в сущности	2	3
65	во всех	10	3
66	том чтобы	2	3
67	отношению к	9	3
68	данном случае	3	3
69	в их	4	3
70	то и	2	3
71	и для	6	3
72	так как	7	3
73	но с	2	3
74	тем самым	3	3
75	тем же	2	3
76	с точки	8	3
77	как на	4	3
78	а в	3	3
79	в глазах	2	3
80	и то	4	3
81	и с	5	3
82	в данном	3	3
83	как к	5	3
84	в другом	2	3
85	на этом	2	2
86	не было	2	2
87	ни было	2	2
88	же как	3	2
89	с тем	2	2
90	у него	5	2
91	себя и	2	2
92	в нашем	3	2
93	для этого	7	2
94	в них	2	2
95	с этой	3	2
96	в конце	4	2
97	в виду	2	2
98	в жизни	3	2
99	вовсе не	2	2
100	в такой	4	2
101	из того	4	2
102	и к	5	2
103	о которой	2	2
104	для нас	3	2
105	этом случае	4	2
106	а затем	2	2
107	тем не	4	2
108	очевидно что	3	2
109	ко всему	2	2
110	все что	9	2
111	и без	5	2
112	выше и	4	2
113	тот же	3	2
114	еще не	5	2
115	было бы	3	2
116	и сам	2	2
117	нет в	2	2
118	не так	4	2
119	как бы	10	2
120	не вполне	3	2
121	для себя	2	2
122	что и	7	2
123	все же	13	2
124	с ее	2	2
125	в целом	5	2
126	из них	5	2
127	в истории	3	2
128	и до	3	2
129	и только	2	2
130	существование в	2	2
131	а потому	5	2
132	и что	8	2
133	не более	2	2
134	для того	8	2
135	из которых	4	2
136	и наконец	3	2
137	хотя бы	4	2
138	друг друга	2	2
139	а к	2	2
140	не знает	2	2
141	в своих	2	2
142	то с	2	2
143	то в	2	2
144	в результате	9	2
145	потому что	9	2
146	в основе	2	2
147	одно из	3	2
148	во имя	3	2
149	но как	2	2
150	ту же	2	2
151	культуры как	3	2
152	о том	7	2
153	с ним	6	2
154	но в	4	2
