N	2gram	Bakhtin_sl_2	KulturaY
1	и т	35	54
2	т п	33	41
3	и в	39	23
4	точки зрения	8	23
5	в том	5	22
6	не только	24	17
7	в этом	16	16
8	с точки	3	16
9	в области	2	14
10	может быть	37	14
11	что в	3	13
12	не менее	4	12
13	для того	2	12
14	том что	5	11
15	а не	14	11
16	в его	7	11
17	того чтобы	2	11
18	и не	22	10
19	можно говорить	2	10
20	прежде всего	8	9
21	еще не	7	9
22	хотя бы	3	9
23	таким образом	8	9
24	так как	4	9
25	лишь в	3	8
26	зависимости от	4	8
27	до сих	2	8
28	сих пор	2	8
29	т д	2	8
30	уже не	5	8
31	в нашем	2	7
32	с другой	5	7
33	или иной	5	7
34	слова и	8	7
35	в зависимости	4	7
36	на фоне	4	7
37	в языке	2	7
38	те же	2	7
39	в данном	2	7
40	сказать что	3	7
41	все эти	6	7
42	как это	3	7
43	того как	2	7
44	для этого	4	6
45	языка в	6	6
46	по себе	5	6
47	что и	3	6
48	что он	2	6
49	при этом	7	6
50	так и	15	6
51	в их	2	6
52	не может	20	6
53	то же	4	6
54	с помощью	4	6
55	могут быть	7	6
56	говорить о	3	6
57	связи с	3	6
58	только в	5	6
59	о том	2	6
60	не могут	5	5
61	независимо от	2	5
62	вовсе не	10	5
63	слов и	3	5
64	как и	6	5
65	не в	9	5
66	о слове	7	5
67	хотя и	2	5
68	как бы	7	5
69	все же	6	5
70	в связи	2	5
71	как мы	7	5
72	а в	4	5
73	но это	3	5
74	также и	2	5
75	той или	5	5
76	в поэзии	2	5
77	далеко не	2	5
78	в чем	3	5
79	слова в	13	4
80	один из	5	4
81	а также	3	4
82	языка как	7	4
83	этом случае	6	4
84	для нас	5	4
85	литературный язык	3	4
86	одной стороны	5	4
87	в сущности	6	4
88	точка зрения	2	4
89	то что	2	4
90	как в	13	4
91	в своем	6	4
92	не было	2	4
93	с одной	5	4
94	в той	4	4
95	в таком	4	4
96	в слове	6	4
97	не столько	3	4
98	между тем	3	4
99	которые в	2	4
100	тогда когда	2	4
101	а лишь	2	3
102	уже в	2	3
103	и более	2	3
104	как о	2	3
105	это не	5	3
106	должна быть	3	3
107	п в	2	3
108	именно в	2	3
109	xix века	4	3
110	и к	6	3
111	в отношении	4	3
112	ни в	4	3
113	но как	2	3
114	это и	2	3
115	мы видели	2	3
116	но не	6	3
117	этого языка	4	3
118	он не	2	3
119	литературного языка	12	3
120	отношение к	4	3
121	зрения на	2	3
122	в процессе	13	3
123	но и	21	3
124	на него	2	3
125	а именно	2	3
126	по отношению	4	3
127	мы не	2	3
128	они не	2	3
129	речи как	2	3
130	в ней	3	3
131	и с	9	3
132	бы и	3	3
133	той же	3	3
134	языка но	4	3
135	в результате	2	3
136	может иметь	3	3
137	слово в	11	3
138	п но	2	3
139	в то	4	3
140	она не	6	3
141	установка на	2	3
142	там где	6	3
143	отметить что	3	3
144	так сказать	6	2
145	все это	16	2
146	но все	5	2
147	поэтическое слово	4	2
148	все они	2	2
149	точку зрения	3	2
150	в одном	2	2
151	на материале	2	2
152	как например	2	2
153	язык не	4	2
154	сама по	3	2
155	материал для	2	2
156	к его	2	2
157	точек зрения	3	2
158	и здесь	2	2
159	и как	3	2
160	в дальнейшем	2	2
161	и при	2	2
162	нашей темы	3	2
163	в различных	2	2
164	более или	2	2
165	чем в	2	2
166	язык и	7	2
167	кроме того	2	2
168	не исчерпывает	3	2
169	связи и	2	2
170	конечно не	5	2
171	за пределы	2	2
172	лишь о	2	2
173	слова как	2	2
174	однако в	2	2
175	п все	3	2
176	его в	4	2
177	не все	2	2
178	но мы	2	2
179	не с	3	2
180	отношению к	4	2
181	в пределах	13	2
182	в некоторых	3	2
183	вместе с	2	2
184	значение в	2	2
185	подчеркнуть что	2	2
186	собственном смысле	3	2
187	и дальше	3	2
188	или менее	2	2
189	в свете	3	2
190	отличается от	2	2
191	языка и	9	2
192	так в	2	2
193	в отличие	12	2
194	как к	3	2
195	смысл и	2	2
196	в особенности	3	2
197	от нас	2	2
198	еще более	2	2
199	именно на	2	2
200	как слово	2	2
201	с другими	4	2
202	не знает	2	2
203	во всяком	3	2
204	остается в	5	2
205	эти слова	2	2
206	только о	2	2
207	еще раз	3	2
208	на протяжении	2	2
209	на этом	3	2
210	о формах	2	2
211	как он	2	2
212	в этих	7	2
213	здесь не	4	2
214	она может	2	2
215	здесь как	2	2
216	отличие от	13	2
217	но в	6	2
