N	2gram	Kanaev_Sov_1	NovoeSre
1	а не	3	17
2	не может	17	16
3	и в	7	16
4	и не	6	11
5	и есть	2	10
6	что в	2	9
7	жизни и	4	8
8	в том	4	8
9	как и	6	7
10	в этом	7	7
11	может быть	12	7
12	не в	3	6
13	в нем	3	5
14	все это	3	5
15	и к	3	5
16	не только	4	5
17	не менее	2	4
18	это не	4	4
19	и все	3	4
20	прежде всего	5	4
21	и мы	3	4
22	и потому	3	4
23	вопрос о	4	3
24	и пр	2	3
25	что такое	2	3
26	еще не	3	3
27	что все	2	2
28	времени и	2	2
29	у него	2	2
30	вместе с	4	2
31	что она	3	2
32	а в	4	2
33	с одной	2	2
34	все эти	5	2
35	уже не	2	2
36	нет и	4	2
37	такой же	2	2
38	роль в	2	2
39	и даже	2	2
40	мы не	9	2
41	можно назвать	2	2
42	одна из	3	2
43	и что	2	2
44	могут быть	2	2
45	с этим	2	2
46	в себе	3	2
47	такого рода	2	2
48	ни одна	2	2
49	когда мы	3	2
50	но в	3	2
