N	2gram	Propp_Isto_7	Russkaja
1	не может	14	22
2	и не	4	19
3	в том	7	17
4	в этом	12	17
5	и в	24	14
6	то что	7	13
7	таким образом	7	11
8	то же	8	11
9	точки зрения	4	11
10	но и	11	10
11	в то	2	10
12	том что	10	9
13	не только	21	9
14	может быть	14	9
15	прежде всего	2	8
16	и если	3	7
17	не будет	2	7
18	в данном	4	7
19	мы должны	4	7
20	о том	9	7
21	что он	21	6
22	к которой	2	6
23	если в	2	6
24	все это	8	6
25	вопрос о	3	5
26	на то	3	5
27	и на	2	5
28	при этом	4	5
29	до сих	2	5
30	было бы	2	5
31	конечно не	2	5
32	он не	6	5
33	никогда не	4	5
34	в нем	6	5
35	сих пор	3	5
36	во всех	7	5
37	по существу	4	5
38	а в	10	5
39	потому что	9	5
40	только в	6	5
41	но не	6	4
42	не могут	2	4
43	что в	13	4
44	тогда когда	3	4
45	как и	6	4
46	в другое	2	4
47	как бы	4	4
48	себе и	3	4
49	все же	9	4
50	вместе с	7	4
51	со стороны	2	4
52	в их	4	4
53	на земле	2	4
54	не в	9	4
55	во всем	2	4
56	которой он	3	4
57	его в	3	4
58	так как	8	4
59	что это	6	3
60	на том	2	3
61	из этих	3	3
62	в конце	3	3
63	всех этих	6	3
64	что они	3	3
65	в качестве	3	3
66	еще не	8	3
67	в самом	2	3
68	том чтобы	3	3
69	одной из	4	3
70	знаем что	3	3
71	то это	5	3
72	что и	8	3
73	и т	17	3
74	из них	2	3
75	данном случае	3	3
76	того что	6	3
77	и по	3	3
78	друг друга	2	3
79	или в	8	3
80	приходит к	3	3
81	тем что	6	3
82	связи с	3	3
83	одна из	7	3
84	этого не	2	2
85	у него	10	2
86	по этому	2	2
87	и от	2	2
88	с этим	2	2
89	точно так	2	2
90	этот вопрос	2	2
91	к себе	3	2
92	совершенно очевидно	2	2
93	их не	2	2
94	ни в	2	2
95	уже не	2	2
96	так что	3	2
97	она будет	2	2
98	но это	3	2
99	ее он	2	2
100	от него	3	2
101	есть и	4	2
102	не можем	2	2
103	отличается от	2	2
104	она не	2	2
105	участие в	2	2
106	и тот	2	2
107	видеть в	3	2
108	и о	2	2
109	но для	2	2
110	в котором	2	2
111	для нее	2	2
112	и тем	2	2
113	этом и	2	2
114	для нас	6	2
115	ее в	3	2
116	согласиться с	2	2
117	тому что	2	2
118	тогда как	3	2
119	если не	4	2
120	все эти	2	2
121	не просто	2	2
122	только на	2	2
123	и что	10	2
124	а не	8	2
125	что такое	2	2
126	и наконец	3	2
127	и даже	3	2
128	не так	2	2
129	к нему	7	2
130	так же	6	2
131	в других	4	2
132	во многих	2	2
133	в силу	2	2
134	мы можем	4	2
135	на себя	2	2
136	мы уже	4	2
137	во время	6	2
138	в таких	2	2
139	в этих	13	2
140	с ним	5	2
141	но в	5	2
