N	2gram	Losev_Vlad_1	Stilisti
1	и в	31	42
2	не только	24	27
3	хотя бы	2	17
4	но и	19	15
5	то же	6	15
6	и не	17	14
7	может быть	6	12
8	не может	6	12
9	точки зрения	2	11
10	как и	4	11
11	мы уже	7	11
12	и как	4	10
13	что мы	2	10
14	мы должны	2	10
15	отнюдь не	3	10
16	как мы	9	10
17	в этом	14	10
18	при этом	2	9
19	в то	8	9
20	то что	18	9
21	для того	2	9
22	все же	3	8
23	таким образом	3	8
24	с тем	2	8
25	что же	5	8
26	тем самым	2	8
27	в себе	4	8
28	и это	2	8
29	никогда не	9	7
30	и от	5	7
31	же время	4	7
32	и на	3	7
33	потому что	11	7
34	так как	8	7
35	с его	11	7
36	было бы	2	7
37	того чтобы	2	7
38	и его	7	7
39	только в	9	7
40	в которой	4	7
41	ничего не	3	7
42	мы будем	2	6
43	не в	5	6
44	в этой	4	6
45	на его	3	6
46	в конце	9	6
47	и так	3	6
48	в нем	4	6
49	так и	6	6
50	уже в	7	5
51	в нашем	4	5
52	своей жизни	2	5
53	а в	9	5
54	и с	14	5
55	как это	7	5
56	в его	12	5
57	вместе с	3	5
58	той же	2	5
59	можно сказать	6	4
60	к тому	3	4
61	которой мы	2	4
62	в качестве	6	4
63	в самом	2	4
64	один из	4	4
65	все это	5	4
66	того что	2	4
67	о том	11	4
68	но в	12	4
69	и к	6	4
70	у нас	6	4
71	мы увидим	3	4
72	себя в	4	4
73	на него	3	4
74	а с	5	4
75	к своему	3	4
76	уже не	3	4
77	и то	10	4
78	то есть	3	4
79	на это	2	4
80	что у	4	3
81	главным образом	4	3
82	для нас	4	3
83	здесь мы	3	3
84	но что	3	3
85	не мог	3	3
86	хотя и	4	3
87	в котором	6	3
88	в целом	3	3
89	из них	2	3
90	жизни и	5	3
91	и вот	3	3
92	лишь в	2	3
93	и даже	15	3
94	сказать что	7	3
95	и здесь	3	3
96	в начале	3	3
97	то он	6	3
98	и все	4	3
99	об этом	7	3
100	том что	14	3
101	в тех	2	3
102	еще не	2	3
103	конечно не	2	3
104	нет и	2	3
105	что и	5	3
106	да и	4	3
107	только на	3	3
108	если не	3	3
109	что такое	2	3
110	и для	2	3
111	конце концов	3	3
112	то мы	3	3
113	ответ на	2	3
114	место в	2	2
115	в частности	2	2
116	но даже	2	2
117	в том	11	2
118	тому же	2	2
119	но это	3	2
120	для него	7	2
121	и сам	6	2
122	несмотря на	4	2
123	но мы	2	2
124	отношение к	3	2
125	в нас	4	2
126	в связи	3	2
127	в отношении	3	2
128	не было	5	2
129	еще и	7	2
130	все эти	3	2
131	в своих	5	2
132	также и	10	2
133	даже и	9	2
134	по своей	4	2
135	и ни	2	2
136	в жизни	3	2
137	к этому	6	2
138	ясно что	2	2
139	что он	12	2
140	на первый	2	2
141	а к	22	2
142	но не	3	2
143	по своему	3	2
144	впоследствии и	2	2
145	тот же	3	2
146	одной из	2	2
147	и потому	6	2
148	в своей	4	2
149	как в	3	2
150	здесь не	3	2
151	и он	3	2
152	к нему	4	2
153	в дальнейшем	8	2
154	с ним	5	2
155	тем что	2	2
156	в каком	2	2
157	и вообще	4	2
