N	2gram	Bakhtin_sl_2	Problemy
1	и не	22	31
2	и в	39	29
3	в его	7	24
4	может быть	37	24
5	а не	14	22
6	в этом	16	22
7	как бы	7	19
8	в нем	19	19
9	точки зрения	8	19
10	для него	7	18
11	не только	24	15
12	то что	2	15
13	но и	21	14
14	и его	33	14
15	то же	4	14
16	рядом с	3	14
17	в пределах	13	13
18	уже не	5	13
19	с точки	3	13
20	как и	6	12
21	точка зрения	2	12
22	не может	20	12
23	таким образом	8	12
24	в одном	2	10
25	в то	4	10
26	только в	5	10
27	героя и	5	10
28	там где	6	10
29	с его	7	9
30	это не	5	9
31	все же	6	9
32	в романе	46	9
33	но не	6	9
34	же время	4	9
35	о нем	2	9
36	все эти	6	9
37	в своем	6	8
38	до конца	17	8
39	по себе	5	8
40	что он	2	8
41	что в	3	8
42	отношению к	4	8
43	по отношению	4	8
44	в том	5	8
45	слово героя	2	7
46	прежде всего	8	7
47	вовсе не	10	7
48	том что	5	7
49	не в	9	7
50	она не	6	7
51	за пределы	2	7
52	самого автора	2	7
53	зрения на	2	7
54	так и	15	7
55	в форме	2	7
56	входит в	4	7
57	и как	3	7
58	а в	4	7
59	с другими	4	7
60	и на	4	7
61	в себе	2	7
62	мира и	5	7
63	в романах	3	7
64	но в	6	7
65	все это	16	6
66	точку зрения	3	6
67	не могут	5	6
68	изображения и	2	6
69	сливается с	4	6
70	к нему	3	6
71	одним из	2	6
72	как в	13	6
73	менее всего	2	6
74	на мир	2	6
75	могут быть	7	6
76	его в	4	6
77	и потому	7	6
78	так как	4	6
79	перед нами	3	5
80	должна быть	3	5
81	и др	4	5
82	именно в	2	5
83	но все	5	5
84	более того	2	5
85	зависимости от	4	5
86	еще не	7	5
87	это и	2	5
88	в сущности	6	5
89	дело идет	2	5
90	у него	3	5
91	он не	2	5
92	в зависимости	4	5
93	той же	3	5
94	с их	3	5
95	во всяком	3	5
96	между тем	3	5
97	автора и	2	5
98	сознание и	3	5
99	с ним	7	5
100	в плане	5	5
101	или как	4	5
102	поэтому и	4	4
103	в результате	2	4
104	бы и	3	4
105	что и	3	4
106	его как	2	4
107	но это	3	4
108	как предмет	4	4
109	и с	9	4
110	даже в	2	4
111	в процессе	13	4
112	в свете	3	4
113	и т	35	4
114	и для	5	4
115	не было	2	4
116	но эта	2	4
117	как мы	7	4
118	они не	2	4
119	героя в	3	4
120	и наконец	5	4
121	в основе	4	4
122	человека в	5	4
123	так сказать	6	4
124	как слово	2	3
125	материал и	3	3
126	уже в	2	3
127	никогда не	7	3
128	в них	6	3
129	с другой	5	3
130	романа в	5	3
131	на материале	2	3
132	романа и	5	3
133	существенно и	2	3
134	точек зрения	3	3
135	ни в	4	3
136	и слово	2	3
137	одна из	4	3
138	все что	2	3
139	от характера	2	3
140	кроме того	2	3
141	ним и	2	3
142	диалог в	2	3
143	всяком случае	2	3
144	на почве	4	3
145	оно не	8	3
146	с авторским	2	3
147	на него	2	3
148	в их	2	3
149	и внутренне	2	3
150	т п	33	3
151	он стремится	2	3
152	на котором	2	3
153	этом отношении	3	3
154	например в	5	3
155	в себя	2	3
156	отличается от	2	3
157	и здесь	2	3
158	сказать что	3	3
159	изображения в	2	3
160	как к	3	3
161	но как	2	3
162	не знает	2	3
163	отношении к	4	3
164	далеко не	2	3
165	его художественного	2	3
166	отношения к	4	3
167	а лишь	2	2
168	всех этих	4	2
169	связи с	3	2
170	себя и	4	2
171	однако в	2	2
172	человек и	14	2
173	его и	2	2
174	не образ	2	2
175	на ряд	2	2
176	нем в	3	2
177	хотя бы	3	2
178	и от	3	2
179	те же	2	2
180	и нет	2	2
181	художественного изображения	11	2
182	и к	6	2
183	жизни и	6	2
184	художественный образ	4	2
185	п все	3	2
186	чужое слово	10	2
187	чем в	2	2
188	при этом	7	2
189	авторским словом	2	2
190	вне его	2	2
191	со своим	9	2
192	о слове	7	2
193	европейского романа	7	2
194	конечно не	5	2
195	идеологического творчества	3	2
196	наконец в	4	2
197	до сих	2	2
198	один из	5	2
199	в большинстве	6	2
200	на его	2	2
201	отношение к	4	2
202	входят в	2	2
203	сих пор	2	2
204	мы уже	2	2
205	в отношении	4	2
206	в контексте	3	2
207	и даже	7	2
208	что оно	4	2
209	зрения и	2	2
210	слово в	11	2
211	в той	4	2
212	в смысле	4	2
213	именно на	2	2
214	него нет	3	2
215	или даже	3	2
216	конечно и	2	2
217	в данном	2	2
218	в ней	3	2
219	но он	2	2
220	как например	2	2
221	в истории	11	2
222	в рамки	2	2
223	со всею	3	2
224	большинстве случаев	5	2
225	в чисто	3	2
226	оно может	2	2
227	же и	2	2
228	с этим	2	2
