N	2gram	Medvedev_F_2	FransuaR
1	и в	38	49
2	прежде всего	15	19
3	в его	10	18
4	не только	9	17
5	и его	21	17
6	и на	3	17
7	и не	20	15
8	в этом	27	15
9	только в	6	13
10	но и	13	13
11	в эпоху	2	13
12	как и	9	11
13	как бы	4	11
14	вовсе не	11	10
15	в этой	6	10
16	все это	3	9
17	для него	7	9
18	и др	3	9
19	в нем	13	9
20	в сущности	4	8
21	отношение к	2	8
22	все же	8	7
23	один из	2	7
24	жизни и	3	7
25	не может	14	7
26	таким образом	20	7
27	то же	6	7
28	все эти	6	7
29	как мы	7	7
30	именно в	5	6
31	то что	6	6
32	в истории	6	6
33	же время	5	6
34	времени и	2	6
35	во всех	5	6
36	так и	8	6
37	сказать что	2	6
38	и с	9	6
39	точки зрения	8	6
40	в то	5	6
41	так как	4	6
42	с его	11	5
43	никогда не	2	5
44	уже в	2	5
45	из этих	3	5
46	но не	2	5
47	при этом	9	5
48	может быть	23	5
49	в своей	7	5
50	в особенности	4	5
51	с точки	7	5
52	роль в	3	5
53	и более	2	4
54	с другой	3	4
55	и к	4	4
56	том что	2	4
57	но все	3	4
58	и о	2	4
59	в этих	2	4
60	и до	3	4
61	в известной	2	4
62	не было	6	4
63	а в	6	4
64	лишь в	7	4
65	в области	3	4
66	тем что	8	4
67	там где	4	4
68	с ним	2	4
69	но в	4	4
70	место в	3	3
71	всех этих	3	3
72	превращается в	2	3
73	что он	5	3
74	был и	2	3
75	и нового	2	3
76	в ее	2	3
77	в том	11	3
78	но именно	3	3
79	в значительной	3	3
80	своего развития	3	3
81	было бы	6	3
82	из них	4	3
83	в самом	16	3
84	даже в	2	3
85	мы видели	4	3
86	ни в	2	3
87	он пишет	2	3
88	другой стороны	4	3
89	что для	2	3
90	этом отношении	7	3
91	и все	3	3
92	и других	2	3
93	менее всего	3	3
94	к нему	3	3
95	так в	3	3
96	их в	2	3
97	и это	2	3
98	в плане	2	3
99	в виду	2	3
100	одного из	3	2
101	смысла и	2	2
102	связи с	13	2
103	что в	7	2
104	для них	3	2
105	очень характерно	2	2
106	на фоне	4	2
107	могут быть	6	2
108	эти явления	2	2
109	в качестве	2	2
110	характерно что	2	2
111	своей статье	3	2
112	та же	2	2
113	в предисловии	2	2
114	даже и	4	2
115	для понимания	6	2
116	в тех	2	2
117	в целях	2	2
118	он был	2	2
119	по существу	7	2
120	это и	5	2
121	в дальнейшем	4	2
122	но это	2	2
123	лишь как	4	2
124	что они	4	2
125	литературы и	4	2
126	ничего не	4	2
127	до конца	2	2
128	в пределах	12	2
129	и другие	2	2
130	совершенно не	4	2
131	значительной степени	3	2
132	хотя и	3	2
133	в ней	6	2
134	метода в	2	2
135	в понимании	2	2
136	по преимуществу	5	2
137	вместе с	6	2
138	ее в	2	2
139	в их	6	2
140	должен был	2	2
141	вряд ли	2	2
142	за счет	4	2
143	смысл и	2	2
144	в связи	10	2
145	на самом	3	2
146	именно на	3	2
147	того чтобы	3	2
148	и даже	4	2
149	и прежде	3	2
150	особенно в	3	2
151	здесь с	2	2
152	во всяком	5	2
153	статье о	2	2
154	на литературу	2	2
155	как к	3	2
156	метод в	4	2
157	от всей	2	2
158	в конце	2	2
159	в художественном	2	2
160	здесь не	4	2
161	всяком случае	5	2
