N	2gram	Vinokur_St_1	VelikijI
1	и не	16	20
2	и в	44	16
3	то что	18	9
4	так как	5	9
5	еще не	3	8
6	в истории	3	8
7	что они	7	7
8	и потому	2	7
9	а не	16	7
10	как бы	4	5
11	но и	10	5
12	все это	5	5
13	того что	9	5
14	что все	2	4
15	и я	3	4
16	что он	10	4
17	в нем	5	4
18	как и	9	4
19	что мы	5	4
20	в котором	5	4
21	так и	9	4
22	что не	3	4
23	потому что	6	4
24	в этом	21	4
25	в ней	3	4
26	говорить о	2	4
27	и все	2	4
28	в его	9	4
29	если не	2	3
30	должна быть	3	3
31	что в	30	3
32	по этому	3	3
33	в этих	2	3
34	что во	2	3
35	превращается в	2	3
36	в конце	3	3
37	ни в	3	3
38	в том	36	3
39	не в	12	3
40	но это	6	3
41	во всех	8	3
42	никогда не	5	3
43	то это	3	3
44	что и	6	3
45	жизни и	5	3
46	в своей	6	3
47	бы и	4	3
48	тому что	3	3
49	не было	4	3
50	лишь в	3	3
51	отвращение к	2	3
52	и что	4	3
53	за то	3	3
54	не имеет	4	3
55	хотя бы	6	3
56	и для	3	3
57	их в	2	3
58	от этого	2	3
59	все эти	5	3
60	в чем	3	3
61	но в	10	3
62	что от	2	2
63	это не	8	2
64	прежде всего	7	2
65	для нас	7	2
66	да и	3	2
67	том что	29	2
68	но не	3	2
69	конечно не	2	2
70	для него	6	2
71	и сам	2	2
72	того чтобы	11	2
73	и во	2	2
74	не только	18	2
75	и т	30	2
76	и за	3	2
77	это дело	2	2
78	и тогда	2	2
79	т д	21	2
80	а с	3	2
81	тем что	5	2
82	мы не	2	2
83	более чем	2	2
84	я думаю	11	2
85	а в	17	2
86	можно было	13	2
87	и то	5	2
88	между тем	3	2
89	могут быть	5	2
90	только в	10	2
91	и это	2	2
92	во всяком	6	2
