N	2gram	Vinokur_St_1	RusskieA
1	и в	44	36
2	не только	18	22
3	что в	30	19
4	том что	29	19
5	в том	36	17
6	т е	15	17
7	в и	130	17
8	но и	10	16
9	так как	5	15
10	во время	3	14
11	п в	3	13
12	xix в	5	13
13	в этом	21	12
14	в других	2	11
15	это не	8	10
16	как и	9	10
17	и т	30	10
18	потому что	6	10
19	об этом	3	9
20	т д	21	9
21	а в	17	9
22	у нас	11	8
23	из них	8	8
24	может быть	15	8
25	и по	5	8
26	е в	2	8
27	о том	17	8
28	как это	4	8
29	что они	7	7
30	что и	6	7
31	так и	9	7
32	между тем	3	7
33	и не	16	6
34	для нас	7	6
35	так например	7	6
36	при этом	2	6
37	таким образом	7	6
38	мы не	2	6
39	все это	5	6
40	не имеет	4	6
41	в виде	3	6
42	то что	18	6
43	видно что	3	6
44	будто бы	3	6
45	иногда и	2	5
46	этом случае	2	5
47	все же	8	5
48	как будто	4	5
49	как бы	4	5
50	и у	2	5
51	во многих	3	5
52	в которых	5	5
53	одно из	2	5
54	как в	13	5
55	тому что	3	4
56	из этих	6	4
57	в тех	3	4
58	что на	2	4
59	в г	3	4
60	по существу	2	4
61	еще не	3	4
62	вплоть до	5	4
63	во всех	8	4
64	и их	2	4
65	в россии	4	4
66	не может	8	4
67	а с	3	4
68	мы имеем	2	4
69	и что	4	4
70	того что	9	4
71	что этот	2	4
72	но это	6	4
73	а иногда	2	4
74	тем что	5	4
75	г в	5	4
76	только в	10	4
77	не менее	5	3
78	начиная с	2	3
79	что это	4	3
80	по этому	3	3
81	связанные с	3	3
82	в этих	2	3
83	в качестве	4	3
84	в своем	2	3
85	но все	4	3
86	представление о	4	3
87	так называемой	2	3
88	думать что	2	3
89	тем не	2	3
90	в москве	2	3
91	несмотря на	2	3
92	как правило	2	3
93	а также	2	3
94	если в	2	3
95	своего рода	3	3
96	также в	2	3
97	то же	5	3
98	с точки	8	3
99	на этот	3	3
100	так же	5	3
101	и те	2	3
102	ничего не	2	3
103	их в	2	3
104	точки зрения	11	3
105	то есть	2	3
106	этого слова	2	3
107	в области	14	3
108	что от	2	2
109	не было	4	2
110	всех этих	2	2
111	и более	2	2
112	в частности	4	2
113	могут быть	5	2
114	области изучения	2	2
115	что у	4	2
116	с этим	3	2
117	и потому	2	2
118	в каждом	3	2
119	в нем	5	2
120	у него	2	2
121	он был	3	2
122	так что	6	2
123	такой же	5	2
124	но не	3	2
125	быть и	2	2
126	далее в	2	2
127	она не	2	2
128	только у	2	2
129	чем у	2	2
130	чем в	3	2
131	например в	8	2
132	многих случаях	2	2
133	в ней	3	2
134	должно было	2	2
135	в его	9	2
136	не значит	3	2
137	как можно	2	2
138	и с	3	2
139	в целом	5	2
140	значит что	3	2
141	судя по	2	2
142	что она	4	2
143	разница между	2	2
144	этой работы	2	2
145	и и	2	2
146	для этого	2	2
147	этому поводу	2	2
148	между прочим	2	2
149	все эти	5	2
150	в какой	3	2
151	на самом	6	2
152	а не	16	2
153	и для	3	2
154	в своих	2	2
155	этот вопрос	4	2
156	должна была	4	2
157	но в	10	2
158	ничего общего	3	2
159	в равной	2	2
160	там где	5	2
161	в числе	2	2
