N	2gram	Bakhtin_Fr_3	Vladivir
1	и в	40	30
2	в году	5	24
3	то что	5	20
4	в этом	15	20
5	у него	8	19
6	в том	8	18
7	и не	13	18
8	и с	8	14
9	что он	2	13
10	в конце	3	13
11	том что	4	12
12	что в	12	12
13	не только	13	12
14	в его	13	11
15	а в	3	11
16	как мы	10	11
17	сказать что	3	11
18	а также	4	10
19	и даже	4	10
20	не было	5	10
21	для него	5	9
22	кроме того	3	9
23	было бы	4	9
24	все же	2	9
25	потому что	2	9
26	не может	3	9
27	в то	6	9
28	связи с	6	8
29	в своем	7	8
30	вместе с	3	8
31	но и	11	8
32	в связи	5	8
33	но в	8	8
34	не менее	2	7
35	точки зрения	2	7
36	и все	9	7
37	ни в	4	7
38	до конца	6	7
39	может быть	9	7
40	в эти	2	7
41	а не	5	7
42	то есть	18	7
43	еще и	2	6
44	к этому	6	6
45	прежде всего	16	6
46	и к	3	6
47	об этом	3	6
48	он был	3	6
49	у нас	4	6
50	только в	3	6
51	в себе	3	6
52	жизни и	4	6
53	и его	17	6
54	также и	4	6
55	в париже	4	6
56	о чем	2	6
57	как и	11	5
58	в дальнейшем	2	5
59	при этом	3	5
60	того же	2	5
61	в своей	6	5
62	в основном	4	5
63	как бы	3	5
64	в котором	2	5
65	другими словами	3	5
66	так и	3	5
67	все это	4	5
68	с этим	2	5
69	в течение	2	5
70	все эти	8	5
71	так как	4	5
72	из этого	2	5
73	с его	3	4
74	именно в	2	4
75	вовсе не	12	4
76	можно сказать	2	4
77	мы знаем	2	4
78	в этой	3	4
79	в целом	2	4
80	и если	2	4
81	на его	2	4
82	конечно не	2	4
83	и о	4	4
84	в ней	4	4
85	он не	9	4
86	в нем	5	4
87	в этих	6	4
88	то же	7	4
89	ко всему	2	4
90	и наконец	3	4
91	той же	8	4
92	и на	8	4
93	но это	3	4
94	с в	2	4
95	в начале	3	4
96	его биографии	3	4
97	о том	4	4
98	здесь не	3	4
99	в которой	2	4
100	отношение к	8	4
101	уже в	2	3
102	всех этих	3	3
103	в них	9	3
104	хотя бы	2	3
105	из этих	2	3
106	это в	2	3
107	же время	6	3
108	быть в	2	3
109	что и	3	3
110	и как	3	3
111	своей жизни	2	3
112	но не	2	3
113	он и	7	3
114	в данном	4	3
115	с года	4	3
116	и для	5	3
117	вплоть до	3	3
118	том же	2	3
119	никак не	3	3
120	еще более	4	3
121	во всех	6	3
122	как в	3	3
123	в отличие	3	3
124	таким образом	10	3
125	те же	5	3
126	и вот	2	3
127	здесь мы	2	3
128	отличие от	3	3
129	даже и	2	3
130	но он	2	3
131	и это	2	3
132	дело в	2	3
133	в области	4	3
134	к нему	2	2
135	вы не	4	2
136	еще в	3	2
137	жизни с	2	2
138	и есть	3	2
139	него и	2	2
140	это не	2	2
141	и от	3	2
142	с начала	4	2
143	мы видели	3	2
144	не был	2	2
145	этой книги	2	2
146	здесь в	4	2
147	на этом	2	2
148	есть и	2	2
149	и сам	2	2
150	мы уже	13	2
151	такого рода	3	2
152	в самом	6	2
153	в сущности	9	2
154	в частности	3	2
155	же и	3	2
156	и потому	4	2
157	о нем	3	2
158	для того	3	2
159	в виду	7	2
160	даже в	4	2
161	начала и	5	2
162	и до	8	2
163	данном случае	2	2
164	в их	4	2
165	но дело	3	2
166	начиная с	3	2
167	но все	3	2
168	мы находим	3	2
169	в той	6	2
170	того чтобы	4	2
171	и очень	2	2
172	и прежде	3	2
173	что для	2	2
174	можно было	3	2
175	нас в	2	2
176	в своих	5	2
177	их в	3	2
178	в более	3	2
179	и во	4	2
180	он дает	2	2
181	тут же	2	2
182	и вы	4	2
183	как он	2	2
184	к этой	3	2
185	мы не	2	2
