N	2gram	Vygotskiy__4	Sotsiolo
1	все это	13	7
2	в том	21	5
3	в этом	28	5
4	не в	2	3
5	для нас	7	3
6	и только	7	3
7	в его	10	3
8	и в	33	3
9	не только	7	3
10	как только	2	2
11	было бы	12	2
12	как будто	8	2
13	только в	4	2
14	в конце	8	2
15	по существу	2	2
16	это и	5	2
17	и мы	15	2
18	таким образом	13	2
19	том что	22	2
20	далеко не	3	2
21	то же	9	2
22	то что	44	2
23	может быть	22	2
24	литературы и	2	2
25	в результате	2	2
26	в частности	4	2
27	и что	25	2
28	но и	3	2
29	как бы	25	2
30	конце концов	3	2
31	что в	21	2
