N	2gram	Losev_Prob_3	Sovremen
1	не может	7	17
2	точки зрения	5	12
3	может быть	28	12
4	таким образом	9	11
5	мы не	7	9
6	в этом	17	7
7	и в	44	7
8	каждый раз	3	6
9	и не	35	6
10	как и	10	6
11	в результате	2	6
12	мы можем	6	6
13	ничего не	3	6
14	что же	8	5
15	прежде всего	3	5
16	все эти	7	5
17	с точки	2	5
18	в условиях	3	5
19	как бы	9	4
20	мы видели	2	4
21	если мы	16	4
22	в целом	6	4
23	жизни и	6	4
24	вместе с	2	4
25	это не	9	4
26	а в	5	4
27	не только	14	4
28	в том	21	4
29	из них	2	4
30	мы должны	7	4
31	так как	9	4
32	уже в	3	3
33	состоит из	5	3
34	все же	6	3
35	отнюдь не	10	3
36	при таком	2	3
37	все это	5	3
38	отличается от	4	3
39	в конце	5	3
40	в наших	2	3
41	то же	13	3
42	ясно что	6	3
43	в нем	9	3
44	а не	18	3
45	и к	6	3
46	этим мы	2	3
47	для нас	16	3
48	у нас	10	3
49	когда мы	15	3
50	не в	13	3
51	в этой	3	3
52	еще не	5	3
53	он в	2	3
54	при этом	4	3
55	было бы	8	3
56	и все	3	3
57	в себе	8	3
58	можем назвать	2	3
59	но в	12	3
60	и потому	7	3
61	совершенно не	4	2
62	в настоящее	2	2
63	может иметь	3	2
64	что это	3	2
65	не менее	10	2
66	и есть	5	2
67	в виде	6	2
68	для его	3	2
69	и именно	2	2
70	не будем	2	2
71	значение в	3	2
72	быть и	3	2
73	в нашем	5	2
74	на котором	2	2
75	то и	5	2
76	и во	2	2
77	в отличие	2	2
78	тем же	2	2
79	что все	2	2
80	с одной	2	2
81	как мы	8	2
82	уже не	7	2
83	и будет	2	2
84	или иной	8	2
85	самом деле	3	2
86	и что	7	2
87	что при	2	2
88	из которых	2	2
89	что такое	3	2
90	говорим о	3	2
91	на этот	4	2
92	и даже	14	2
93	дает нам	2	2
94	и по	2	2
95	тем не	10	2
96	она может	2	2
97	то ни	6	2
98	в таком	5	2
99	но все	3	2
100	свою собственную	3	2
101	во всяком	9	2
102	могут быть	2	2
103	с этим	2	2
104	что в	8	2
105	настоящее время	2	2
106	говорить о	3	2
107	же самое	9	2
108	это за	3	2
109	если же	3	2
110	такого рода	6	2
111	по мнению	2	2
112	в самом	3	2
113	в которой	2	2
114	отличие от	3	2
115	в его	9	2
116	всяком случае	6	2
