N	3gram	Bakhtin_Pr_1	Tvorches
1	в романах достоевского	6	12
2	то же время	7	7
3	в то же	7	7
4	в романе достоевского	6	5
5	в творчестве достоевского	4	4
6	по нашему мнению	3	4
7	у достоевского как	2	3
8	не может быть	3	3
9	по отношению к	11	3
10	до сих пор	2	3
11	в одном из	2	2
12	и не может	2	2
13	с другой стороны	2	2
14	в отличие от	2	2
15	по крайней мере	2	2
16	о том что	2	2
17	во всяком случае	3	2
18	в самом деле	2	2
19	и в то	3	2
20	в й главе	2	2
21	в том что	7	2
22	ивана карамазова и	4	2
23	в произведениях достоевского	2	2
