N	2gram	Bakhtin_Fr_5	VrazhdaK
1	в году	3	18
2	не только	14	9
3	в этом	14	8
4	и что	2	8
5	и в	45	8
6	но и	10	7
7	что в	12	7
8	то что	2	7
9	и все	7	7
10	в нем	10	6
11	все же	2	6
12	и даже	4	6
13	в романе	11	6
14	как и	10	6
15	в начале	2	6
16	но в	14	6
17	и с	10	6
18	то же	11	5
19	не было	3	5
20	и не	15	5
21	у него	4	5
22	об этом	4	5
23	между тем	2	5
24	в то	11	5
25	же время	9	5
26	как бы	12	4
27	все это	7	4
28	это не	3	4
29	что он	6	4
30	так же	8	4
31	с ним	5	4
32	может быть	2	4
33	при этом	2	4
34	в истории	2	4
35	несмотря на	2	4
36	о том	4	4
37	в ней	8	4
38	в этот	2	3
39	с его	7	3
40	связи с	6	3
41	в своем	11	3
42	и во	4	3
43	в связи	5	3
44	в конце	7	3
45	к этому	2	3
46	и у	5	3
47	он был	7	3
48	в том	10	3
49	раз в	2	3
50	и его	13	3
51	том что	7	3
52	и как	5	3
53	в его	13	3
54	его в	5	3
55	но он	3	3
56	и о	4	3
57	в чем	2	3
58	одним из	5	3
59	он не	6	3
60	и т.п	16	2
61	в эти	2	2
62	в своей	3	2
63	и это	4	2
64	не менее	3	2
65	вместе с	3	2
66	в них	6	2
67	человека с	5	2
68	как раз	5	2
69	так в	2	2
70	не может	5	2
71	а в	4	2
72	таким образом	8	2
73	начиная с	2	2
74	рядом с	2	2
75	это в	2	2
76	и образы	5	2
77	в период	2	2
78	но это	5	2
79	не мог	4	2
80	и он	3	2
81	с точки	2	2
82	этот момент	3	2
83	в этой	6	2
84	об этой	3	2
85	же как	4	2
86	права на	2	2
87	точки зрения	4	2
88	для него	3	2
89	во время	12	2
90	о чем	3	2
91	том же	2	2
92	в эту	2	2
93	а также	4	2
