N	2gram	Ircho_Kome_2	Problemy
1	и в	26	43
2	и не	14	29
3	может быть	11	23
4	как бы	2	22
5	не может	3	18
6	но и	10	14
7	как и	4	14
8	и т	2	13
9	точки зрения	4	13
10	в этом	10	13
11	что он	5	13
12	в нем	6	12
13	в одном	2	12
14	в каждом	3	11
15	не в	2	11
16	не только	7	11
17	прежде всего	4	10
18	и на	7	10
19	но в	3	10
20	в его	4	10
21	как мы	4	10
22	еще не	6	9
23	он не	2	9
24	т п	2	9
25	то же	3	8
26	и его	12	8
27	или в	3	8
28	до сих	2	7
29	и сам	3	7
30	в самом	4	7
31	в то	6	7
32	то что	6	7
33	сих пор	2	7
34	в этих	4	6
35	в том	11	6
36	в котором	3	6
37	и все	2	6
38	у него	4	6
39	да и	3	5
40	так что	5	5
41	же время	3	5
42	хотя и	4	5
43	к нему	3	5
44	все это	3	5
45	по отношению	3	5
46	таким образом	6	5
47	а в	3	5
48	рядом с	2	5
49	и с	5	5
50	бы в	2	5
51	это слово	4	5
52	вовсе не	2	5
53	о том	6	5
54	но не	3	5
55	было бы	8	5
56	и что	2	5
57	отношению к	3	5
58	в той	2	5
59	что в	9	4
60	в своем	6	4
61	с другой	2	4
62	к тому	12	4
63	в самой	3	4
64	друг с	2	4
65	человека в	3	4
66	во время	6	4
67	так как	4	4
68	с его	5	4
69	с собой	2	4
70	в них	4	4
71	в своей	3	4
72	во всех	3	4
73	в отличие	2	4
74	на этот	4	4
75	мы не	2	4
76	с другом	2	4
77	только в	4	4
78	и это	2	4
79	отличие от	2	4
80	же не	2	4
81	не менее	4	3
82	это не	2	3
83	в одной	2	3
84	он был	2	3
85	тому же	11	3
86	реакции на	2	3
87	в виду	2	3
88	и их	3	3
89	в их	3	3
90	теперь в	2	3
91	и здесь	6	3
92	его в	4	3
93	между тем	4	3
94	если бы	9	3
95	и к	2	3
96	того же	3	3
97	здесь в	3	3
98	тот же	2	3
99	наконец в	2	3
100	даже в	2	3
101	что и	7	3
102	все же	4	3
103	себя в	3	3
104	так и	12	3
105	и для	4	3
106	той же	3	3
107	можно было	4	3
108	тем что	3	3
109	и ее	2	3
110	уже в	4	2
111	что у	4	2
112	из этих	4	2
113	в конце	2	2
114	в образе	3	2
115	вопрос о	3	2
116	что на	3	2
117	для нас	3	2
118	ни в	5	2
119	но все	3	2
120	из его	2	2
121	сюжета в	2	2
122	что это	4	2
123	например в	3	2
124	время как	2	2
125	то это	2	2
126	в целом	4	2
127	отношение к	2	2
128	сказать о	2	2
129	целый ряд	2	2
130	с ними	2	2
131	и еще	2	2
132	в руках	4	2
133	из них	7	2
134	как он	3	2
135	в первом	2	2
136	во всяком	2	2
137	ни было	2	2
138	с этим	5	2
139	этом смысле	2	2
140	об этом	2	2
141	а затем	5	2
142	одна из	2	2
143	по своему	2	2
144	то время	3	2
145	с их	4	2
146	на себя	7	2
147	и особенно	3	2
148	бы и	2	2
149	как в	3	2
150	еще более	2	2
151	том что	9	2
152	хотя бы	2	2
153	мы можем	3	2
154	затем и	2	2
155	того как	3	2
