N	2gram	Tiupa_Lite_3	TeoriaLi
1	в мире	16	24
2	не только	14	18
3	в качестве	5	17
4	тогда как	17	16
5	и не	22	16
6	я в	7	16
7	а в	5	14
8	в частности	11	13
9	и в	16	13
10	состоит в	6	13
11	эстетического отношения	2	12
12	может быть	12	12
13	так и	9	12
14	то есть	5	12
15	представляет собой	2	11
16	при этом	15	11
17	в этом	14	11
18	в том	12	11
19	но не	4	10
20	в тексте	4	10
21	а не	12	10
22	и его	6	10
23	в его	6	9
24	то же	9	9
25	произведение искусства	6	8
26	что в	2	8
27	своего рода	10	8
28	такого рода	10	8
29	отношению к	4	8
30	но и	14	8
31	по отношению	4	8
32	себя в	7	7
33	в себе	6	7
34	том что	8	7
35	во второй	2	7
36	в отличие	5	7
37	в данном	4	7
38	точки зрения	7	7
39	по своей	3	7
40	в то	9	7
41	только в	7	7
42	как это	3	7
43	отличие от	5	7
44	место в	4	6
45	с его	6	6
46	же время	7	6
47	еще не	6	6
48	в первой	2	6
49	присутствия в	6	6
50	лишь в	5	6
51	как бы	8	6
52	но в	3	6
53	в рамках	4	5
54	и одновременно	2	5
55	однако в	4	5
56	или иной	2	5
57	а также	4	5
58	в ее	5	5
59	как и	5	5
60	не в	10	5
61	лирическая героиня	2	5
62	в самом	3	5
63	я с	3	5
64	в нем	2	5
65	данном случае	4	5
66	как в	5	5
67	уже не	3	5
68	тем самым	7	5
69	коммуникативного события	5	5
70	в принципе	2	5
71	жизни как	2	5
72	с другой	6	5
73	не случайно	3	5
74	между тем	3	5
75	не менее	2	4
76	личности в	3	4
77	в свою	2	4
78	в стихотворении	6	4
79	можно сказать	2	4
80	субъекта и	5	4
81	и а	3	4
82	в своей	7	4
83	то что	12	4
84	отношение к	2	4
85	и т.п	6	4
86	не может	8	4
87	на смену	3	4
88	в слове	3	4
89	хотя и	4	4
90	и ее	2	4
91	а и	2	4
92	не знает	2	4
93	лирического героя	7	4
94	всего лишь	5	4
95	мира и	2	4
96	эстетический объект	3	4
97	ни к	3	3
98	по мысли	6	3
99	лирический герой	5	3
100	художественного творчества	2	3
101	никогда не	4	3
102	говоря словами	3	3
103	в противоположность	2	3
104	прежде всего	3	3
105	художественного произведения	2	3
106	и к	3	3
107	в соответствии	3	3
108	для него	2	3
109	объекта и	2	3
110	того что	9	3
111	и сам	2	3
112	например в	3	3
113	в сторону	3	3
114	той или	2	3
115	и потому	2	3
116	с ее	3	3
117	другой стороны	2	3
118	как раз	2	3
119	входит в	4	3
120	именно в	5	3
121	мира в	3	3
122	в другом	6	3
123	и вот	2	3
124	причастности к	6	3
125	самим собой	3	3
126	потому что	3	3
127	в основе	5	3
128	в этой	8	3
129	его в	2	3
130	эстетического объекта	6	3
131	я не	2	2
132	о чем	3	2
133	если бы	2	2
134	себя и	2	2
135	в конце	2	2
136	жизни в	4	2
137	того же	2	2
138	это не	5	2
139	другого я	2	2
140	нас самих	2	2
141	по себе	2	2
142	что он	5	2
143	к тому	6	2
144	автором и	2	2
145	и как	3	2
146	эстетического субъекта	7	2
147	в присутствии	2	2
148	соответствии с	5	2
149	субъекта жизни	2	2
150	и адресата	2	2
151	особого рода	5	2
152	перед лицом	4	2
153	одной стороны	4	2
154	а на	2	2
155	во втором	2	2
156	эстетической деятельности	2	2
157	для такого	2	2
158	вслед за	3	2
159	однако если	3	2
160	к жизни	2	2
161	так или	2	2
162	даже в	4	2
163	субъект и	2	2
164	и тем	3	2
165	не с	2	2
166	в целом	5	2
167	во всех	2	2
168	вместе с	5	2
169	коммуникативное событие	4	2
170	со стороны	7	2
171	а именно	5	2
172	здесь не	2	2
173	в романе	3	2
174	и для	4	2
175	я как	4	2
176	с одной	4	2
177	от себя	2	2
178	в году	5	2
179	а.н веселовского	2	2
180	с точки	3	2
181	и даже	2	2
182	во всей	2	2
183	так же	2	2
184	право на	2	2
185	или иначе	2	2
186	автора и	2	2
187	следует признать	2	2
188	на себя	2	2
189	как будто	4	2
190	о том	6	2
191	этого текста	2	2
192	отношения к	3	2
193	в области	3	2
194	я и	10	2
195	для меня	2	2
