N	2gram	Propp_Russ_1	Dialekti
1	т е	17	46
2	и не	6	30
3	а не	2	18
4	может быть	8	17
5	и т	10	17
6	ничего не	3	17
7	то что	6	16
8	и в	36	15
9	т д	9	15
10	как бы	5	14
11	не имеет	6	14
12	так как	15	14
13	точки зрения	3	14
14	что это	3	13
15	того что	4	13
16	это не	10	12
17	в том	17	11
18	не может	4	11
19	в этом	12	11
20	потому что	10	10
21	том что	19	10
22	все это	6	9
23	мы не	6	9
24	и что	4	9
25	то же	3	9
26	уже не	6	9
27	и пр	2	9
28	с точки	3	9
29	значит что	2	9
30	что иное	2	8
31	иное как	2	8
32	не что	2	8
33	не только	22	8
34	что в	19	7
35	что именно	2	7
36	не просто	2	7
37	как и	10	7
38	или в	2	7
39	только в	4	7
40	так что	2	6
41	хотя и	2	6
42	что и	7	6
43	так и	7	5
44	в своем	3	5
45	но что	2	5
46	в ней	2	5
47	в нем	2	5
48	что она	2	5
49	в свете	2	5
50	таким образом	6	5
51	и на	10	5
52	о том	8	5
53	мы имеем	4	5
54	в жизни	2	5
55	и для	2	5
56	и как	2	4
57	но это	4	4
58	что они	7	4
59	один из	8	4
60	но и	16	4
61	в особенности	2	4
62	так же	3	4
63	с ними	5	4
64	и с	2	4
65	мы должны	2	4
66	в одном	3	4
67	с тем	8	4
68	отнюдь не	2	4
69	мы видим	2	4
70	ничего общего	2	4
71	она не	2	4
72	еще не	4	4
73	в течение	5	4
74	в силу	2	4
75	в его	2	4
76	только для	2	3
77	та же	2	3
78	на этом	3	3
79	в свою	3	3
80	себя и	2	3
81	к жизни	3	3
82	в их	4	3
83	все эти	2	3
84	с этим	2	3
85	если угодно	2	3
86	то на	3	3
87	с ним	2	3
88	но в	2	3
89	в один	2	3
90	к этому	4	3
91	об этом	9	3
92	у нас	8	3
93	и потому	2	3
94	когда он	2	3
95	быть и	2	3
96	как в	5	3
97	она в	3	3
98	мы можем	2	3
99	в виде	6	3
100	могут быть	2	3
101	в области	3	3
102	не менее	3	2
103	в частности	2	2
104	из этих	4	2
105	представление о	3	2
106	главным образом	2	2
107	на все	2	2
108	показывает что	5	2
109	что на	4	2
110	его как	2	2
111	но все	3	2
112	свою очередь	2	2
113	при этом	6	2
114	из них	8	2
115	и их	4	2
116	природы и	2	2
117	для этого	2	2
118	далее в	2	2
119	в разных	3	2
120	не было	2	2
121	и по	8	2
122	на что	2	2
123	как это	8	2
124	е в	8	2
125	но они	3	2
126	в них	6	2
127	думать что	3	2
128	все же	5	2
129	в качестве	3	2
130	и из	3	2
131	в целях	3	2
132	не значит	2	2
133	в этот	10	2
134	тем не	3	2
135	как не	2	2
136	во всех	4	2
137	вместе с	10	2
138	находится в	2	2
139	того как	5	2
140	не объясняет	2	2
141	можно говорить	2	2
142	что по	4	2
143	что этот	4	2
144	тем что	4	2
145	день и	2	2
146	как будто	5	2
