N	2gram	Losev_Vlad_3	VerxiiNi
1	и в	40	26
2	таким образом	11	22
3	с тем	7	18
4	вместе с	7	15
5	в этом	16	15
6	точки зрения	13	13
7	как бы	3	12
8	в том	18	11
9	может быть	8	10
10	не только	25	10
11	и с	9	10
12	из этих	3	10
13	связи с	2	9
14	что в	17	9
15	но и	18	9
16	так как	7	9
17	с другой	5	8
18	но не	4	8
19	и не	25	8
20	и у	3	8
21	как на	3	8
22	том что	18	7
23	но все	3	7
24	одной стороны	3	7
25	из них	2	7
26	к нему	3	7
27	то что	28	7
28	а с	4	7
29	с одной	3	7
30	потому что	11	7
31	но в	4	7
32	в конце	12	6
33	к тому	7	6
34	и потому	10	6
35	того же	2	6
36	несмотря на	7	6
37	всяком случае	3	6
38	что и	7	6
39	все же	4	6
40	так и	6	6
41	в отношении	5	6
42	все эти	5	6
43	с точки	6	6
44	во всяком	3	6
45	в себе	9	6
46	мы должны	4	6
47	о том	11	6
48	и к	2	5
49	тому же	5	5
50	одной из	2	5
51	в его	14	5
52	никогда не	11	5
53	или менее	5	5
54	так же	8	5
55	а не	8	5
56	того чтобы	3	5
57	для того	2	5
58	не имеет	4	5
59	в силу	2	5
60	и для	3	5
61	в мире	2	5
62	более или	5	5
63	учение о	24	4
64	должен был	2	4
65	в этих	2	4
66	и от	6	4
67	что все	7	4
68	и вместе	2	4
69	что он	5	4
70	в нем	3	4
71	в смысле	6	4
72	в самом	4	4
73	в котором	4	4
74	не может	14	4
75	и только	3	4
76	а в	7	4
77	то же	4	4
78	в течение	4	4
79	и что	8	4
80	и по	2	4
81	в виде	13	4
82	он не	8	4
83	в то	7	4
84	только в	13	4
85	то есть	24	4
86	в этой	8	4
87	далеко не	3	4
88	не менее	9	3
89	же как	3	3
90	что это	9	3
91	если бы	3	3
92	так или	2	3
93	хотя бы	6	3
94	точно так	4	3
95	к этому	2	3
96	для него	8	3
97	так что	14	3
98	и как	7	3
99	в своем	8	3
100	в качестве	3	3
101	и если	7	3
102	и о	4	3
103	не вполне	2	3
104	тем не	10	3
105	к богу	2	3
106	оказывается что	2	3
107	в связи	3	3
108	при этом	3	3
109	но с	2	3
110	уже не	9	3
111	путь к	2	3
112	того что	7	3
113	и даже	6	3
114	в которой	2	3
115	в таком	3	3
116	или иначе	2	3
117	с этой	2	3
118	в результате	4	3
119	конце концов	5	3
120	в одном	5	3
121	уже в	3	2
122	не могут	2	2
123	с его	2	2
124	именно в	3	2
125	взгляд на	2	2
126	но когда	2	2
127	не как	2	2
128	прежде всего	10	2
129	на то	4	2
130	этого последнего	2	2
131	а также	8	2
132	к его	2	2
133	и здесь	6	2
134	по существу	4	2
135	то ни	3	2
136	мы видели	3	2
137	в начале	2	2
138	же время	2	2
139	что мы	2	2
140	еще не	4	2
141	общего с	2	2
142	той или	2	2
143	но если	5	2
144	не с	4	2
145	бы то	3	2
146	не к	2	2
147	быть и	2	2
148	только что	2	2
149	отличается от	3	2
150	иной раз	6	2
151	в разных	2	2
152	не было	5	2
153	если не	6	2
154	этом отношении	2	2
155	мы имеем	3	2
156	можно только	2	2
157	и сейчас	2	2
158	в одно	2	2
159	свидетельствует о	2	2
160	и на	6	2
161	сказать что	12	2
162	больше чем	2	2
163	не в	3	2
164	и наконец	2	2
165	по своей	2	2
166	ничего общего	5	2
167	же самое	3	2
168	и все	4	2
169	и это	6	2
170	в россии	3	2
171	из этого	2	2
172	творца и	2	2
173	в виду	3	2
