N	2gram	Nazirov_Tv_2	Vladivir
1	и в	20	40
2	то что	3	28
3	и не	9	25
4	не только	13	25
5	то есть	5	24
6	у него	6	24
7	но и	8	18
8	в том	8	18
9	том что	4	18
10	что в	7	17
11	в этом	8	16
12	так что	2	14
13	в его	10	14
14	не может	7	14
15	вовсе не	2	13
16	в виде	2	13
17	только в	2	13
18	в конце	6	12
19	никогда не	11	11
20	таким образом	10	11
21	потому что	7	11
22	о том	5	11
23	едва ли	2	11
24	прежде всего	8	10
25	и потому	4	10
26	в году	16	10
27	и его	9	10
28	не менее	2	9
29	уже не	3	9
30	и с	8	9
31	в своей	6	9
32	в себе	3	9
33	в этой	5	8
34	для него	3	8
35	может быть	8	8
36	так же	5	8
37	и что	2	8
38	соловьев в	2	8
39	он не	3	8
40	а не	6	8
41	и если	2	7
42	хотя и	4	7
43	там же	9	7
44	а в	4	7
45	в своих	3	7
46	так как	3	7
47	в то	10	7
48	вместе с	3	7
49	как и	6	7
50	же с	9	7
51	и даже	5	6
52	и на	5	6
53	и от	4	6
54	xix века	7	6
55	об этом	4	6
56	так и	6	6
57	если не	4	6
58	но это	5	6
59	и это	3	6
60	с другой	2	5
61	тому же	2	5
62	но если	2	5
63	не было	2	5
64	все эти	4	5
65	тут же	2	5
66	в истории	2	5
67	тоже не	2	5
68	отнюдь не	4	5
69	в одном	2	5
70	что он	6	5
71	у нас	2	5
72	тем что	3	5
73	ничего не	4	5
74	в дальнейшем	4	4
75	такой же	2	4
76	в самом	3	4
77	в котором	3	4
78	философии но	2	4
79	января года	4	4
80	при помощи	2	4
81	но не	5	4
82	еще не	5	4
83	в основном	6	4
84	него в	2	4
85	то же	7	4
86	а с	3	4
87	все же	5	4
88	но в	4	4
89	по мнению	3	4
90	уже в	2	3
91	я не	2	3
92	же как	3	3
93	это не	7	3
94	человека и	3	3
95	при этом	8	3
96	как бы	11	3
97	всяком случае	2	3
98	в нем	3	3
99	и только	2	3
100	именно в	6	3
101	с большим	3	3
102	не так	2	3
103	не столько	2	3
104	сводится к	2	3
105	в россии	2	3
106	если бы	4	3
107	в духе	4	3
108	в отличие	2	3
109	всякого рода	2	3
110	и у	2	3
111	не в	4	3
112	в таком	3	3
113	что этот	2	3
114	во всяком	2	3
115	и вообще	2	3
116	в чем	4	3
117	отличие от	2	3
118	он сам	3	2
119	ни к	2	2
120	с этой	3	2
121	во что	2	2
122	письма т	2	2
123	что на	2	2
124	что его	2	2
125	же время	7	2
126	а скорее	2	2
127	и наконец	2	2
128	не является	3	2
129	в целом	6	2
130	что она	4	2
131	в их	3	2
132	другой стороны	2	2
133	и по	2	2
134	друг друга	2	2
135	и еще	2	2
136	он всегда	2	2
137	в начале	3	2
138	его в	3	2
139	нет ничего	3	2
140	только с	2	2
141	таком случае	2	2
142	вообще говоря	2	2
143	во многом	2	2
144	т ii	2	2
145	м с	7	2
146	к этому	3	2
147	из них	2	2
148	одной из	3	2
149	но у	4	2
150	наряду с	7	2
151	по преимуществу	2	2
152	в этот	2	2
153	но уже	3	2
154	в мире	5	2
155	из этого	2	2
156	на него	2	2
157	тем самым	4	2
158	роль в	2	2
159	мы не	4	2
160	в которой	2	2
161	же не	2	2
