N	2gram	Vinokur_Ku_3	Morfolog
1	может быть	14	52
2	и т	54	49
3	т д	8	47
4	и пр	3	40
5	таким образом	9	20
6	не может	6	17
7	т е	32	16
8	в этих	2	16
9	могут быть	6	15
10	и в	23	13
11	в этом	16	13
12	так как	9	12
13	связи с	6	11
14	прежде всего	9	9
15	этом случае	4	9
16	так и	6	9
17	в связи	5	9
18	то же	6	9
19	и не	10	9
20	а не	11	9
21	мы имеем	2	9
22	с другой	7	8
23	по существу	3	8
24	что и	6	8
25	в результате	3	8
26	вопрос о	11	7
27	в тех	2	7
28	в качестве	2	7
29	но если	3	7
30	все же	5	7
31	это не	3	6
32	не могут	5	6
33	и здесь	2	6
34	в том	22	6
35	но не	3	6
36	а также	4	6
37	а в	5	6
38	не менее	12	5
39	тому как	2	5
40	здесь можно	5	5
41	если мы	7	5
42	далеко не	5	5
43	как бы	5	5
44	не все	2	5
45	один из	4	5
46	то что	4	5
47	потому что	12	5
48	мы не	3	5
49	что в	13	4
50	и как	2	4
51	вовсе не	5	4
52	тем не	9	4
53	отношению к	2	4
54	было бы	16	4
55	не только	17	4
56	то это	3	4
57	в некоторых	2	4
58	как в	4	4
59	как мы	5	4
60	другой стороны	3	4
61	тех же	4	4
62	так же	2	4
63	по отношению	3	4
64	как и	5	4
65	там где	3	4
66	то мы	3	4
67	хотя и	5	4
68	тем что	5	4
69	точки зрения	23	4
70	с точки	16	4
71	на этом	2	4
72	также и	5	4
73	его в	2	4
74	ничего не	6	4
75	только что	2	3
76	независимо от	5	3
77	если бы	8	3
78	это уже	3	3
79	а то	2	3
80	в нашем	7	3
81	в какой	3	3
82	том что	11	3
83	но все	2	3
84	но это	5	3
85	что они	2	3
86	в целом	4	3
87	кроме того	2	3
88	в пределах	2	3
89	того чтобы	11	3
90	в сущности	4	3
91	он не	3	3
92	в первом	5	3
93	ни в	3	3
94	но и	3	3
95	на него	3	3
96	от того	5	3
97	целый ряд	4	3
98	на самом	3	3
99	самом деле	14	3
100	первом случае	2	3
101	то здесь	2	3
102	в то	3	3
103	мы должны	3	3
104	если же	2	3
105	но в	2	3
106	вопрос в	2	2
107	и более	3	2
108	с тем	6	2
109	в частности	2	2
110	однако в	2	2
111	хотя бы	9	2
112	для каждой	2	2
113	сразу же	2	2
114	состоит в	2	2
115	что он	6	2
116	в различных	2	2
117	можно сказать	2	2
118	и к	3	2
119	функции не	2	2
120	путь к	2	2
121	не с	2	2
122	то в	3	2
123	и при	2	2
124	только в	6	2
125	смысле слова	2	2
126	одной стороны	4	2
127	но для	3	2
128	не значит	5	2
129	в таких	2	2
130	чем это	2	2
131	собственном смысле	2	2
132	или менее	2	2
133	вопроса о	3	2
134	как например	2	2
135	и только	3	2
136	а с	3	2
137	с одной	4	2
138	все эти	7	2
139	не означает	2	2
140	перейти к	2	2
141	и что	7	2
142	того что	11	2
143	для того	12	2
144	к другой	2	2
145	что такое	4	2
146	уже не	8	2
147	тем же	2	2
148	не имеет	3	2
149	можно было	11	2
150	всего следует	3	2
151	бы составить	2	2
152	в каком	3	2
153	этот вопрос	3	2
154	не знает	2	2
155	что мы	2	2
156	о том	6	2
157	что эти	2	2
158	в свое	2	2
159	ясно что	4	2
160	здесь не	2	2
161	сказать что	7	2
162	как это	7	2
163	более или	2	2
