N	3gram	Bakhtin_Pr_3	Problema
1	по отношению к	5	19
2	и т п	6	13
3	не может быть	6	11
4	с точки зрения	4	6
5	в большинстве случаев	2	5
6	в отличие от	2	5
7	в его целом	2	5
8	в высшей степени	3	5
9	и прежде всего	4	5
10	с другой стороны	3	4
11	не входит в	2	4
12	то же время	12	3
13	в самом деле	3	3
14	в то же	12	3
15	тем не менее	2	3
16	и в нем	3	3
17	бы то ни	4	3
18	на самом деле	10	3
19	в этом смысле	4	3
20	то ни было	4	2
21	той или иной	2	2
22	ни в чем	2	2
23	так и в	2	2
24	и в то	5	2
25	к нему и	5	2
26	и не может	2	2
27	в чем не	2	2
